id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceFilePath
v400-microbiology-streptolizin-o,Streptolizin O,Streptolizin O | SLO | streptolysin O,Tıbbi Mikrobiyoloji,Gram pozitif kok / virülans,P1,Streptococcus pyogenes’in oksijene duyarlı hemolizinidir.,Streptolizin O eritrositleri ve konak hücrelerini hasarlayabilen antijenik bir toksindir. Anti-streptolizin O yanıtı geçirilmiş A grubu streptokok enfeksiyonunu desteklemek için kullanılır.,Geçirilmiş streptokok enfeksiyonu kanıtı sorulursa ASO yanıtı streptolizin O’ya karşı gelişir.,Streptolizin S oksijene dayanıklıdır ve kanlı agardaki yüzeyel beta hemolize daha çok katkı verir.,Streptococcus pyogenes | ASO | Beta hemoliz,30,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-streptolizin-s,Streptolizin S,Streptolizin S | SLS | streptolysin S,Tıbbi Mikrobiyoloji,Gram pozitif kok / virülans,P2,"S. pyogenes’in oksijene dayanıklı, antijenik olmayan hemolizinidir.",Streptolizin S kanlı agarda beta hemoliz görünümüne katkı verir. Antijenik olmadığı için ASO testinin hedefi değildir.,Beta hemoliz görünümü streptolizin S ile; ASO yanıtı streptolizin O ile ilişkilidir.,Streptolizin O antijeniktir; streptolizin S antijenik değildir.,Streptococcus pyogenes | Beta hemoliz | ASO,26,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-katalaz-testi,Katalaz testi,Katalaz testi | catalase test | katalaz pozitiflik | katalaz negatiflik,Tıbbi Mikrobiyoloji,Laboratuvar tanı testi,P0,Hidrojen peroksidin su ve oksijene ayrılmasını gösteren temel bakteri ayırım testidir.,"Katalaz testi stafilokokları streptokoklardan ayırmada ilk kapılardan biridir. Stafilokoklar katalaz pozitif, streptokoklar genellikle katalaz negatiftir.",Gram pozitif kok ayrımında “üzüm salkımı + katalaz pozitif” stafilokok; “zincir + katalaz negatif” streptokok lehinedir.,Koagülaz testi stafilokok alt ayrımı için kullanılır; katalaz testi stafilokok-streptokok ayrımı içindir.,Staphylococcus aureus | Streptococcus pyogenes | Koagülaz testi,41,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-koagulaz-testi,Koagülaz testi,Koagülaz testi | coagulase test | koagülaz pozitiflik | koagülaz negatiflik,Tıbbi Mikrobiyoloji,Laboratuvar tanı testi,P0,Stafilokoklar arasında S. aureus’u koagülaz negatif türlerden ayıran testtir.,Koagülaz fibrinojeni fibrine dönüştürerek bakterinin çevresinde koruyucu bir yapı oluşmasına katkı sağlar. Koagülaz pozitiflik pürülan deri enfeksiyonu ve apse yapan S. aureus için klasik laboratuvar ipucudur.,Katalaz pozitif gram pozitif kokta koagülaz pozitiflik S. aureus lehinedir.,S. epidermidis ve S. saprophyticus koagülaz negatiftir; S. aureus koagülaz pozitiftir.,Staphylococcus aureus | Katalaz testi | Protein A,118,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-eksfolyatif-toksin,Eksfolyatif toksin,Eksfolyatif toksin | exfoliative toxin | epidermolitik toksin,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P1,S. aureus’un epidermiste desmoglein-1’i hedefleyerek yüzeyel ayrılma yapan toksinidir.,Eksfolyatif toksin stafilokokal haşlanmış deri sendromu ve büllöz impetigo patogenezinde önemlidir. Toksin epidermisin yüzeyel tabakalarında hücre bağlantılarını bozar.,Yaygın yüzeyel deri soyulması + S. aureus toksini = eksfolyatif toksin.,Toksik şok sendromu toksini süperantijen etkisiyle sistemik tablo yapar; eksfolyatif toksin epidermal ayrılma yapar.,Staphylococcus aureus | Büllöz impetigo | Toksik şok sendromu toksini,629,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-panton-valentine-lokosidin,Panton-Valentine lökosidin,Panton-Valentine lökosidin | PVL | Panton Valentine leukocidin,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P1,"S. aureus’un nötrofilleri hedefleyen, nekrotizan deri enfeksiyonu ve pnömoniyle ilişkilendirilen lökosidinidir.",PVL nötrofil membranında por oluşturarak hücre yıkımına katkı sağlar. Toplum kökenli MRSA olgularında nekrotizan apse ve ağır pnömoni bağlamında akılda tutulur.,Nekrotizan deri apsesi veya ağır nekrotizan pnömonide PVL ilişkisi sorulabilir.,Protein A opsonizasyonu azaltır; PVL nötrofil yıkımıyla ilişkilidir.,Staphylococcus aureus | MRSA | Nekrotizan pnömoni,136,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-meca-geni,MecA geni,MecA geni | mecA | mecA-mediated resistance,Tıbbi Mikrobiyoloji,Antibiyotik direnci,P0,MRSA’da beta-laktamlara direnç oluşturan değişmiş penisilin bağlayıcı proteini kodlayan gendir.,mecA geni PBP2a üretimine yol açar; bu protein beta-laktamlara düşük afinite gösterdiği için metisilin/oksasilin direnci gelişir. Bu direnç tedavi seçimini doğrudan değiştirir.,MRSA direncinin moleküler temeli mecA → PBP2a → beta-laktam bağlanmasının azalmasıdır.,Beta-laktamaz enzimi antibiyotiği parçalar; mecA hedef proteinin yapısını değiştirir.,MRSA | PBP2a | Beta-laktam direnci,8,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-pbp2a,PBP2a,PBP2a | penisilin bağlayıcı protein 2a | PBP 2a,Tıbbi Mikrobiyoloji,Antibiyotik direnci,P0,mecA geniyle kodlanan ve beta-laktamlara düşük afinite gösteren hedef proteindir.,PBP2a varlığı MRSA fenotipinin temelidir. Beta-laktamlar normal PBP’leri inhibe etse bile PBP2a hücre duvarı sentezini sürdürebilir.,MRSA’da direnç antibiyotiği parçalamaktan çok hedef PBP’nin değişmesiyle açıklanır.,ESBL beta-laktamaz temelli dirençtir; PBP2a hedef değişikliği temelli dirençtir.,MecA geni | MRSA | Beta-laktam,6,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-vankomisin-direncli-enterokok,Vankomisin dirençli enterokok,Vankomisin dirençli enterokok | VRE | vancomycin-resistant Enterococcus,Tıbbi Mikrobiyoloji,Antibiyotik direnci,P1,Enterokoklarda vankomisin hedefinin değişmesiyle gelişen direnç fenotipidir.,VRE’de peptidoglikan öncül ucundaki D-Ala-D-Ala hedefi çoğunlukla D-Ala-D-Lac’a dönüşür. Bu değişiklik vankomisinin bağlanmasını belirgin azaltır.,"VRE mantığı: hedef uç değişir, vankomisin bağlanamaz.",MRSA’da hedef PBP değişir; VRE’de peptidoglikan öncül ucunun yapısı değişir.,Enterococcus faecalis | D-alanin-D-laktat değişimi | Vankomisin,119,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-d-alanin-d-laktat-degisimi,D-alanin-D-laktat değişimi,D-alanin-D-laktat değişimi | D-Ala-D-Lac | D-Ala-D-Lactate,Tıbbi Mikrobiyoloji,Antibiyotik direnci,P1,VRE’de vankomisinin bağlandığı peptidoglikan hedef ucunun D-Ala-D-Ala yerine D-Ala-D-Lac’a dönüşmesidir.,Bu değişiklik hidrojen bağı düzenini bozarak vankomisin afinitesini azaltır. Böylece hücre duvarı sentezi vankomisin varlığında da devam edebilir.,Vankomisin direncinde anahtar ifade D-Ala-D-Lac hedef değişimidir.,Beta-laktam direncinde PBP değişimi veya beta-laktamaz olabilir; vankomisin direncinde hedef uç değişir.,VRE | Vankomisin | Peptidoglikan,29,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
