id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples,answerLeakRisk,ambiguityRisk
v404-pediatrics-kernikterus,Kernikterus,Kernikterus,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Bilirubin ensefalopatisi,P0,Ağır indirekt hiperbilirubineminin bazal gangliyonlar başta olmak üzere beyinde nörotoksik hasar yapmasıdır.,"Bilirubin albümine bağlı kapasiteyi aşınca beyne geçebilir; letarji, hipotoni/hipertoni, tiz ağlama ve nörolojik sekel riski ortaya çıkar. Bu nedenle erken tanı, fototerapi ve gerekirse kan değişimi hayatîdir.",Ağır indirekt bilirubin + nörolojik bulgu kernikterus açısından acildir.,Direkt bilirubin beyne geçme açısından aynı klasik kernikterus riskini taşımaz; indirekt form nörotoksiktir.,İndirekt hiperbilirubinemi; Fototerapi; Kan değişimi,14,"Doğru cevap A’dır. Yenidoğanda indirekt bilirubin yüksekliği karaciğer konjugasyon kapasitesinin sınırlı olması ve bilirubin üretiminin artmış olabilmesiyle ilişkilidir. Fototerapi bilirubini toksik olmayan ve suda daha çözünür fotoizomerlere dönüştürür; böylece bilirubinin konjugasyona gerek kalmadan atılması kolaylaşır. Fototerapi bilirubin üretimini artırmaz, UDP-glukuronil transferazı inhibe etmez ve bilirubini hemoglobine geri çevi || Yanlıştır. Albümine bağlı olmayan indirekt bilirubinin beyne geçmesi kernikterus riskini oluşturur. Fototerapi bu riski artırmak için değil azaltmak için uygulanır.",low,low
v404-pediatrics-biloz-kusma,Bilöz kusma,Bilöz kusma,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Cerrahi alarm,P0,Safra içeren yeşil kusmadır ve yenidoğanda intestinal obstrüksiyon/volvulus açısından acil kabul edilir.,Yenidoğanda bilöz kusma malrotasyon-volvulus gibi barsak kanlanmasını bozabilecek acilleri düşündürür. Stabilizasyon sonrası üst GIS kontrast çalışması ve cerrahi değerlendirme geciktirilmez.,Yenidoğanda bilöz kusma cerrahi acildir; pilor stenozu tipik olarak safrasızdır.,Safrasız projektil kusma pilor stenozuna gider; yeşil bilöz kusma distal obstrüksiyon alarmıdır.,Malrotasyon-volvulus; Üst GIS pasaj grafisi; Pilor stenozu,52,Dış genital yapıda klitoromegali ve posterior labial füzyon izlenir; batın distansiyonu veya bilöz kusma bulgusu yoktur. || Bilöz kusma ve batın hassasiyeti,low,low
v404-pediatrics-pnomatozis-intestinalis,Pnömatozis intestinalis,Pnömatozis intestinalis,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Görüntüleme,P0,Bağırsak duvarı içinde gaz görülmesidir ve nekrotizan enterokolit için klasik radyolojik bulgudur.,Mukozal hasar ve bakteriyel gaz üretimi bağırsak duvarında gaz birikimine yol açar. Prematüre bebekte bu bulgu klinik kötüleşmeyle birleştiğinde NEK yönetimini hızlandırır.,Prematüre bebekte pnömatozis intestinalis NEK için yüksek verimli ipucudur.,Normal intestinal gaz lümen içindedir; pnömatozis duvar içi gazdır.,Nekrotizan enterokolit; Portal ven gazı; Batın distansiyonu,9,"Prematüre bebekte beslenme intoleransı, karın distansiyonu ve pnömatozis intestinalis ne düşündürür? || Pnömatozis intestinalis.",low,low
v404-pediatrics-hipoksik-iskemik-ensefalopati,Hipoksik iskemik ensefalopati,Hipoksik iskemik ensefalopati; HİE; HIE,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Perinatal nöroloji,P0,Perinatal asfiksi sonrası beyin oksijenlenme ve perfüzyon bozukluğuna bağlı ensefalopati tablosudur.,"Metabolik asidoz, düşük Apgar, nöbet, hipotoni ve bilinç etkilenimi görülebilir. Orta-ağır olgularda ilk saatlerde terapötik hipotermi nörolojik sekel riskini azaltmak için kullanılır.",Term yenidoğanda perinatal asfiksi + ensefalopati terapötik hipotermi endikasyonunu düşündürür.,Basit doğum depresyonu hızlı toparlayabilir; HİE’de nörolojik bulgular ve asidoz belirgindir.,Terapötik hipotermi; Perinatal asfiksi; Metabolik asidoz,24,Hipoksik iskemik ensefalopati ve hipotermi || Uygun term veya near-term yenidoğanda perinatal asfiksi sonrası orta-ağır HİE saptanırsa nöroprotektif hipotermi zaman penceresi kaçırılmamalıdır.,low,low
v404-pediatrics-ilk-24-saatte-sarilik,İlk 24 saatte sarılık,İlk 24 saatte sarılık; ilk gün sarılığı,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Sarılık alarmı,P0,Yaşamın ilk günü ortaya çıkan sarılıktır ve genellikle patolojik kabul edilir.,"Bu zamanlama fizyolojik sarılıktan çok hemoliz, kan grubu uygunsuzluğu, enfeksiyon veya eritrosit enzim/membran kusurlarını düşündürür. Bu yüzden bilirubin düzeyi ve yükselme hızı acil değerlendirilir.",İlk 24 saatte sarılık = fizyolojik deme; hemoliz ve ağır hiperbilirubinemi riski düşün.,Fizyolojik sarılık genellikle 24 saatten sonra belirir; ilk gün sarılığı alarmdır.,ABO hemolitik hastalık; Rh izoimmünizasyonu; Direkt Coombs testi,2,"İlk 24 saatte sarılık çoğunlukla hemoliz, enfeksiyon veya başka patolojik neden düşündürür. || İlk 24 saatte sarılık çoğunlukla hemoliz, enfeksiyon veya başka patolojik neden düşündürür.",low,low
v404-pediatrics-agir-dehidratasyon,Ağır dehidratasyon,Ağır dehidratasyon,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Sıvı kaybı,P0,"Dolaşım bozukluğu, letarji, belirgin kapiller dolum uzaması veya zayıf nabızla seyreden ciddi sıvı kaybıdır.",Çocukta rezerv sınırlı olduğu için hızlı hipovolemik şoka ilerleyebilir. Oral tedavi yerine izotonik IV sıvı bolusu önceliklidir.,Ağır dehidratasyon ve şokta ORS değil IV izotonik sıvı gerekir.,Hafif dehidratasyonda çocuk uyanık ve perfüzyon iyidir; ağır tabloda dolaşım etkilenir.,Kapiller dolum süresi; Oral rehidratasyon tedavisi; Hipovolemik şok,15,Kapiller dolum yaklaşık 2 saniyedir; ağır dehidratasyon görünümü yoktur. || Akut gastroenterit sonrası ağır dehidratasyon ve hipovolemik şok bulgularını pediatrik yaşa göre tanıyıp ilk resüsitasyon basamağını seçme.,low,low
v404-pediatrics-pediatrik-septik-sok,Pediatrik septik şok,Pediatrik septik şok,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Şok,P0,Enfeksiyona bağlı dolaşım yetmezliği ve doku hipoperfüzyonu tablosudur.,"Çocuklarda hipotansiyon geç bulgu olabilir; taşikardi, kapiller dolum uzaması, soğuk/sıcak ekstremite, oligüri ve laktat yüksekliği erken uyarıdır. İlk saat sıvı, kültür, antibiyotik ve vazopressör kararlarını içerir.",Çocukta hipotansiyon beklemeden hipoperfüzyon bulgularıyla septik şok tedavisine başla.,Dehidratasyonda enfeksiyon odağı olmayabilir; septik şokta sistemik inflamasyon ve laktat/perfüzyon bozukluğu vardır.,Kapiller dolum süresi; Laktat yüksekliği; İlk saat antibiyotik,4,"Pediatrik septik şokta hipoperfüzyon, hipotansiyon, oligüri, laktat yüksekliği ve hipoglisemiyi birlikte değerlendirerek ilk saat resüsitasyonunu seçme. || Pediatrik septik şokta ilk saat; oksijen, IV/IO erişim, perfüzyona göre izotonik sıvı, hipoglisemi düzeltmesi ve erken geniş spektrumlu IV antibiyotikten oluşur; tanısal işlemler tedaviyi geciktirmemelidir.",low,low
v404-pediatrics-semptomatik-hipoglisemi,Semptomatik hipoglisemi,Semptomatik hipoglisemi,Çocuk Sağlığı ve Hastalıkları,Pediatrik endokrinoloji / Acil glukoz,P0,"Düşük glukozun nöbet, letarji, bilinç değişikliği veya adrenerjik bulgularla seyretmesidir.",Çocuklarda beyin glukoza bağımlı olduğu için semptomatik hipoglisemi hızlı düzeltilmelidir. Bilinci kapalı veya nöbet geçiren çocukta oral besleme yerine intravenöz dekstroz bolusu gerekir.,"Nöbet/letarji + düşük glukoz = IV dekstroz, antiepileptik bekleme.",Febril nöbette glukoz normal olabilir; hipoglisemide nöbet metabolik acildir.,IV dekstroz bolusu; Ketotik hipoglisemi; Hipoketotik hipoglisemi,22,"Açlık ve kusma sonrası nöbet/letarji gelişen çocukta kapiller glukoz düşüklüğünü semptomatik hipoglisemi olarak tanıyıp oral beslenme veya antiepileptik yerine hızlı intravenöz dekstroz bolusunu seçme. || Semptomatik hipoglisemide ilk tedavi basamağını nöbet kontrolü, bilinç durumu ve güvenli glukoz replasmanı üzerinden belirleyebilme.",low,low
v404-pediatrics-tuz-kaybettiren-adrenal-kriz,Tuz kaybettiren adrenal kriz,Tuz kaybettiren adrenal kriz,Çocuk Sağlığı ve Hastalıkları,Pediatrik endokrinoloji / Adrenal acil,P0,"Aldosteron ve kortizol eksikliğine bağlı hiponatremi, hiperkalemi, dehidratasyon ve şok tablosudur.","Yenidoğanda 21-hidroksilaz eksikliğinde kusma, kilo kaybı, hipoglisemi, hiponatremi, hiperkalemi ve kız bebekte virilizasyon görülebilir. Tedavide hidrokortizon, sıvı, glukoz ve elektrolit yönetimi acildir.",Yenidoğan + kusma/şok + hiponatremi/hiperkalemi = tuz kaybettiren KAH krizi düşün.,Pilor stenozu hipokloremik alkaloz yapar; adrenal kriz hiponatremi-hiperkalemiyle gider.,21-hidroksilaz eksikliği; Ambigus genitalya; Hidrokortizon,18,"Yenidoğanda kusma, dehidratasyon, hipoglisemi, hiponatremi, hiperkalemi ve virilizasyon paterninde tuz kaybettiren adrenal krizi tanıyıp ilk acil tedavi kombinasyonunu seçme. || Hiponatremi ve hiperkalemi birlikteliği yenidoğanda tuz kaybettiren adrenal kriz için yüksek değerli objektif patern oluşturur.",low,low
v404-pediatrics-bruton-agammaglobulinemisi,Bruton agammaglobulinemisi,Bruton agammaglobulinemisi; X bağlı agammaglobulinemi,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / B hücre yetmezliği,P0,BTK mutasyonuna bağlı B hücre olgunlaşma kusuru ve çok düşük immünoglobulin düzeyleriyle seyreden X’e bağlı hastalıktır.,Maternal IgG azaldıktan sonra tekrarlayan pyojenik sinopulmoner enfeksiyonlar başlar. Lenfoid dokular küçük olabilir; tedavide immünoglobulin replasmanı kullanılır.,6. aydan sonra tekrarlayan pyojenik enfeksiyon + düşük Ig + erkek bebek Bruton düşündürür.,SCID’de T hücre kusuru ve fırsatçı enfeksiyonlar daha erken/ağırdır.,BTK mutasyonu; İmmünoglobulin replasmanı; Pyojenik enfeksiyon,6,Bruton agammaglobulinemisi || Bruton agammaglobulinemisi.,low,low
