"id","canonicalTerm","oldIssueType","newShortDefinition","newPreAnswerSafeDefinition","newPostAnswerExplanation","newTusPearl","newDifferentialPoint","category","answerLeakRisk"
"definition-quality-v294-sentinel-lenf-nodu-biyopsisi","Sentinel lenf nodu biyopsisi","placeholder/generic-filler-definition","Primer tümörden lenfatik drenajı alan ilk lenf nodunun işaretlenip örneklenmesi işlemidir.","Tümörün bölgesel lenfatik yayılımını daha sınırlı cerrahi örnekleme ile değerlendiren onkolojik evreleme işlemidir.","Sentinel nod negatifse geniş lenf nodu diseksiyonundan kaçınılabilir; pozitiflik nodal evreleme ve adjuvan tedavi planını etkiler. Meme kanseri ve melanomda sık kullanılır.","Meme kanseri ve melanomda sentinel nod biyopsisi nodal evreleme için aksiller/lenf nodu diseksiyonuna göre daha sınırlı yaklaşımdır.","Sentinel nod biyopsisi tanısal evreleme işlemidir; terapötik geniş nod diseksiyonu değildir.","Cerrahi / onkolojik evreleme","medium"
"definition-quality-v294-prodromal-radyasyon-belirtileri","Prodromal radyasyon belirtileri","placeholder/generic-filler-definition","Akut radyasyon sendromunda maruziyetten saatler içinde gelişebilen bulantı, kusma, baş ağrısı, halsizlik ve ishal gibi erken uyarı bulgularıdır.","Radyasyon maruziyeti sonrası erken dönemde ortaya çıkan sistemik yakınmaları ifade eder; şiddeti maruziyet dozu ve süreyle ilişkilidir.","Prodromal fazdaki kusmanın başlama zamanı ve semptom şiddeti alınan radyasyon dozu hakkında ipucu verir; ardından latent dönem ve hematopoetik, gastrointestinal veya nörovasküler sendrom bulguları gelişebilir.","Radyasyon sonrası erken kusma ve gastrointestinal yakınmalar yüksek doz maruziyeti düşündürür; faz bilgisi akut radyasyon sendromu sorularında ayırt ettiricidir.","Prodromal belirtiler nonspesifiktir; tanısal değer maruziyet öyküsü, zamanlama ve lenfosit düşüşüyle birlikte değerlendirilince artar.","Radyasyon biyofiziği / akut radyasyon sendromu","medium"
"definition-quality-v294-subdiyafragmatik-serbest-hava","Subdiyafragmatik serbest hava","placeholder/generic-filler-definition","Direkt grafi veya görüntülemede diyafram altında görülen serbest gaz görünümüdür ve çoğunlukla içi boş organ perforasyonunu düşündürür.","Karın içinde serbest gaz varlığını gösteren radyolojik bir bulgudur; klinik bağlamla birlikte yorumlanır.","Periton boşluğuna hava geçişi en sık gastrointestinal perforasyonla ilişkilidir; ani karın ağrısı, defans/rebound ve sepsis bulguları varsa acil cerrahi değerlendirme gerekir.","Akut batında diyafram altı serbest hava, perforasyon düşünülmesi gereken yüksek değerli görüntüleme ipucudur.","Postoperatif erken dönemde sınırlı serbest hava beklenebilir; klinik kötüleşme veya peritoneal irritasyon perforasyon lehinedir.","Görüntüleme bulgusu / genel cerrahi","medium"
"definition-quality-v294-agir-ozellikli-preeklampsi","Ağır özellikli preeklampsi","placeholder/generic-filler-definition","Preeklampsiye ağır hipertansiyon, trombositopeni, böbrek/karaciğer etkilenimi, pulmoner ödem veya nörolojik bulguların eşlik ettiği tablodur.","Gebelikte hipertansif hastalık spektrumunda organ etkilenimi ve maternal-fetal risk artışıyla ilişkili ağır klinik formdur.","Ağır özellikler maternal nöbet, inme, HELLP sendromu ve fetal komplikasyon riskini artırır; magnezyum sülfatla nöbet profilaksisi ve gebelik haftasına göre doğum planı değerlendirilir.","Şiddetli baş ağrısı, görme bozukluğu, epigastrik ağrı, trombosit düşüklüğü veya pulmoner ödem ağır özellik lehinedir.","Eklampsi nöbet varlığıyla preeklampsiden ayrılır; HELLP hemoliz, karaciğer enzim yüksekliği ve trombositopeni ile öne çıkar.","Kadın doğum / hipertansif gebelik hastalığı","medium"
"definition-quality-v294-nonkontrast-kraniyal-bt","Nonkontrast kraniyal BT","placeholder/generic-filler-definition","Kontrast madde verilmeden çekilen beyin BT incelemesidir; akut kanama, kitle etkisi ve erken iskemik değişikliklerin değerlendirilmesinde kullanılır.","Akut nörolojik tabloda intrakraniyal kanama veya belirgin yapısal lezyon varlığını hızlı değerlendiren görüntüleme yöntemidir.","İskemik inmede trombolitik tedavi düşünülmeden önce intrakraniyal kanamanın dışlanması gerekir; nonkontrast BT bu nedenle acil yaklaşımda temel basamaktır.","Akut inme şüphesinde tedavi kararından önce kanamayı dışlamak için nonkontrast kraniyal BT istenir.","MR difüzyon akut iskemiyi daha duyarlı gösterebilir; BT ise acilde kanama dışlama ve hızlı erişilebilirlik açısından öne çıkar.","Görüntüleme tetkiki / nöroloji","medium"
"definition-quality-v294-anatomik-enfiye-cukuru","Anatomik enfiye çukuru","placeholder/generic-filler-definition","Başparmak ekstansiyonu ile belirginleşen, skafoid kemiğin palpe edildiği radial el bileği çukurudur.","El bileği radial tarafında yer alan ve travma sonrası palpasyonla değerlendirilen anatomik bir bölgedir.","FOOSH tipi düşme sonrası anatomik enfiye çukuru hassasiyeti skafoid kırığı açısından uyarıcıdır; erken grafi normal olsa bile klinik şüphede immobilizasyon ve kontrol görüntüleme gerekir.","El bileği travması + anatomik enfiye çukuru hassasiyeti skafoid kırığını düşündürür.","De Quervain tenosinoviti radial stiloid çevresinde ağrı yapabilir; travma öyküsü ve skafoid palpasyon hassasiyeti kırık lehinedir.","Anatomik lokalizasyon / ortopedi","medium"
"definition-quality-v294-ilk-basamak-tedavi","İlk basamak tedavi","placeholder/generic-filler-definition","Bir klinik durumda ilk uygulanması gereken tedavi veya stabilizasyon adımını ifade eder.","Tedavi sıralamasında önceliklendirme gerektiren klinik karar kavramıdır; ayrıntılı seçenek bilgisi cevap sonrası değerlendirilmelidir.","TUS sorularında “ilk basamak” çoğu zaman definitif tedaviden önce yaşamı tehdit eden sorunu stabilize etmeyi hedefler; tedavi sırası tanı kadar önemlidir.","“İlk” sorularında stabilizasyon, güvenlik ve zaman kritik müdahale definitif tedaviden ayrılmalıdır.","Definitif tedavi hastalığı ortadan kaldırmayı; ilk basamak tedavi acil riski azaltmayı veya tanı/tedavi sürecini başlatmayı hedefleyebilir.","TUS karar terimi / klinik yönetim","medium"
"definition-quality-v294-sentinel-lenf-nodu","Sentinel lenf nodu","placeholder/generic-filler-definition","Primer tümör bölgesinden lenfatik drenajın ilk ulaştığı lenf nodudur.","Sentinel lenf nodu, klinik bulgu veya girişimlerin anatomik yerleşimini anlamak için kullanılan lokalizasyon kavramıdır.","Sentinel lenf nodu pozitifliği bölgesel metastaz olasılığını ve evrelemeyi etkiler; negatiflik bazı hastalarda geniş nod diseksiyonundan kaçınmayı sağlar.","Meme kanseri ve melanomda sentinel nod kavramı nodal evreleme ve cerrahi morbiditeyi azaltma açısından önemlidir.","Sentinel nod anatomik drenajdaki ilk noddur; klinik olarak büyümüş herhangi bir lenf nodu sentinel nod anlamına gelmez.","Anatomi / onkolojik evreleme","medium"
"definition-quality-v294-hava-yolu-odemi","Hava yolu ödemi","placeholder/generic-filler-definition","Üst veya alt hava yolunda mukozal şişlik gelişerek hava akımını kısıtlayabilen klinik durumdur.","Solunum yolunda şişlik ve hava akımı kısıtlanması riskiyle ilişkili acil değerlendirme gerektiren bulgudur.","Anafilaksi, inhalasyon hasarı veya enfeksiyonlarda gelişebilir; ses kısıklığı, stridor, dil/dudak şişliği veya hipoksemi hava yolu güvenliğini öncelikli hale getirir.","Stridor, ses kısıklığı veya hızlı ilerleyen mukozal ödem hava yolu güvenliği açısından kırmızı bayraktır.","Bronkospazm alt hava yolu düz kas daralmasıdır; laringeal/hava yolu ödemi üst hava yolu obstrüksiyonu ve stridorla öne çıkabilir.","Acil / hava yolu patolojisi","medium"
"definition-quality-v294-insulin-glukoz-tedavisi","İnsülin-glukoz tedavisi","placeholder/generic-filler-definition","İnsülinin potasyumu hücre içine kaydırıcı etkisinden yararlanmak için glukozla birlikte verilen geçici hiperkalemi tedavisidir.","Elektrolit acillerinde hücre içi-dışı iyon dağılımını geçici olarak değiştirmeye yönelik tedavi yaklaşımıdır.","İnsülin Na/K-ATPaz aktivitesini artırarak serum potasyumunu düşürür; glukoz hipoglisemiyi önlemek için verilir. EKG değişikliği varsa membran stabilizasyonu önceliklidir.","Hiperkalemide insülin-glukoz potasyumu hücre içine kaydırır; EKG değişikliğinde önce kalsiyumla membran stabilizasyonu düşünülür.","Kalsiyum glukonat potasyumu düşürmez, kardiyak membranı stabilize eder; insülin-glukoz serum potasyumunu geçici azaltır.","Acil / elektrolit tedavisi","medium"
