id,term,aliases,category,subcategory,priority,occurrenceCount,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,sourceFilePath
v398-histoembryo-kardiyak-noral-krest,Kardiyak nöral krest,Kardiyak nöral krest; cardiac neural crest; kardiyak nöral krest hücreleri,Histoloji ve embriyoloji,Nöral krest ve kalp çıkış yolu,P0,19,Kalbin çıkış yolu ve aortopulmoner septasyonuna katkı veren nöral krest hücre grubudur.,"Bu hücrelerin göç veya farklılaşma kusuru konotrunkal çıkış yolu defektleriyle ilişkilidir. Yenidoğanda santral siyanoz, çıkış yolu darlığı ve septal defekt birlikteyse embriyolojik yorumda kardiyak nöral krest düşünülür.",Konotrunkal defekt + timus/paratiroid/kraniofasiyal ipuçları nöral krest-faringeal ark bağlantısını güçlendirir.,Endokardiyal yastık AV septasyonla; kardiyak nöral krest konotrunkal çıkış yolu ayrımıyla daha yakından ilişkilidir.,Konotrunkal septasyon; Aortopulmoner septum; Faringeal ark,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-noral-krest-migrasyonu,Nöral krest migrasyonu,Nöral krest migrasyonu; nöral krest göçü; neural crest migration,Histoloji ve embriyoloji,Nöral krest ve göç,P1,5,Nöral krest hücrelerinin doğdukları bölgeden hedef dokulara kontrollü göç sürecidir.,"Göç aksarsa aynı anda bağırsak ganglion hücresi yokluğu, kraniofasiyal defekt, konotrunkal kalp anomalisi veya pigment hücresi problemleri görülebilir. Bu yüzden soru tek organı değil göç eden hücre serisini test eder.","Hirschsprung, konotrunkal defekt ve DiGeorge benzeri tablolar nöral krest migrasyon mantığıyla bağlanır.",Lokal organ yetmezliği gibi görünse de embriyolojik cevap çoğu kez hücre göç bozukluğudur.,Nöral krest hücreleri; Hirschsprung hastalığı; Enterik ganglion hücreleri,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-norulasyon,Nörülasyon,Nörülasyon; neurulation; nöral tüp oluşumu,Histoloji ve embriyoloji,Nöral tüp gelişimi,P1,14,Nöral plağın katlanıp nöral tüpü oluşturduğu erken embriyolojik süreçtir.,"Nörülasyon bozulursa kranial veya kaudal nöropor kapanma kusurları ortaya çıkar. Bu mekanizma anensefali, spina bifida ve açık nöral tüp defektlerinin temelidir.","Kranial nöropor anensefaliye, kaudal nöropor spina bifidaya bağlanır.",Nörülasyon MSS tüpünü kurar; nöral krest bu tüpün kenarından ayrılıp göç eden ayrı popülasyondur.,Nöral plaka; Kranial nöropor; Kaudal nöropor,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-kranial-noropor,Kranial nöropor,Kranial nöropor; rostral nöropor; cranial neuropore,Histoloji ve embriyoloji,Nöral tüp gelişimi,P1,27,Nöral tüpün baş tarafındaki geçici açıklığıdır.,Kranial nöroporun kapanmaması anensefali gibi ağır kranial nöral tüp defektleriyle ilişkilidir. Kaudal nöropordan farklı olarak baş ve beyin gelişimi ön plandadır.,Kranial nöropor = anensefali; kaudal nöropor = spina bifida.,Kaudal nöropor omurga/omurilik arka elemanlarıyla ilişkilidir.,Anensefali; Nörülasyon; Nöral tüp defekti,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-meningomiyelosel,Meningomiyelosel,Meningomiyelosel; myelomeningocele; meningomyelosel,Histoloji ve embriyoloji,Nöral tüp defekti,P0,18,Meninges ve spinal kord/ sinir dokusunun vertebral defektten dışarı herniasyonudur.,Açık nöral tüp defekti olduğu için AFP artışı ve amniyon sıvısında asetilkolinesteraz pozitifliği beklenebilir. Spina bifida occulta’dan daha ağırdır çünkü nöral doku defekte katılır.,Lumbosakral kese + AFP artışı + nörolojik etkilenme meningomiyelosel lehinedir.,Meningoselde yalnız meninges herniasyonu; meningomiyeloselde nöral doku da defekt içindedir.,Kaudal nöropor; Spina bifida; Maternal serum AFP,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-amniyon-sivisinda-asetilkolinesteraz,Amniyon sıvısında asetilkolinesteraz,Amniyon sıvısında asetilkolinesteraz; amniyotik sıvıda asetilkolinesteraz; amniyon asetilkolinesteraz; AChE pozitifliği,Histoloji ve embriyoloji,Prenatal tarama,P1,38,Amniyon sıvısında açık nöral doku ile ilişkili olabilen asetilkolinesteraz pozitifliğidir.,Açık nöral tüp defektlerinde amniyon sıvısına nöral doku enzimleri geçebilir. AFP yüksekliğini destekleyen daha spesifik bir prenatal ipucu olarak kullanılır.,AFP yüksekliği + amniyon AChE pozitifliği açık nöral tüp defekti lehinedir.,AChE pozitifliği kapalı spina bifida occulta’dan çok açık defektlerle ilişkilidir.,Maternal serum AFP; Açık nöral tüp defekti; Meningomiyelosel,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-faringeal-ark,Faringeal ark,Faringeal ark; branchial arch; brankial ark; yutak arkı,Histoloji ve embriyoloji,Faringeal aparat,P1,31,"Baş-boyun bölgesinin kemik, kas, damar ve sinir gelişimine katkı veren segmental embriyonik yapılardır.","Her ark belirli bir kıkırdak/kemik, kas, arter ve kranial sinir ilişkisi taşır. TUS sorularında ark numarası çoğu zaman hangi sinirin veya kas grubunun geliştiğini ayırır.","Ark sorularında kas-sinir eşleşmesi ezberden daha değerlidir: 1. ark V, 2. ark VII, 3. ark IX, 4-6. ark X ile ilişkilidir.",Faringeal poş endodermal iç yapıları; faringeal yarık ektodermal dış yapıları verir.,Birinci faringeal ark; Faringeal poş; Faringeal yarık,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-birinci-faringeal-ark,Birinci faringeal ark,Birinci faringeal ark; 1. faringeal ark; mandibular ark; birinci brankial ark,Histoloji ve embriyoloji,Faringeal aparat,P1,21,Mandibula-maksilla gelişimi ve çiğneme kaslarıyla ilişkili ilk faringeal arktır.,"Birinci ark Meckel kıkırdağı, çiğneme kasları ve trigeminal sinirle ilişkilidir. Mandibula, malleus-incus ve çiğneme kası sorularında ayırıcı değeri yüksektir.",1. ark = çiğneme kasları + CN V; 2. ark = mimik kasları + CN VII.,Birinci poş orta kulak/eustachi tüpüne gider; birinci ark kas-sinir-iskelet ilişkisi taşır.,Meckel kıkırdağı; Trigeminal sinir; Çiğneme kasları,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-ikinci-faringeal-ark,İkinci faringeal ark,İkinci faringeal ark; 2. faringeal ark; hyoid ark; ikinci brankial ark,Histoloji ve embriyoloji,Faringeal aparat,P1,4,"Mimik kasları, stapes ve yüz siniriyle ilişkilendirilen faringeal arktır.","İkinci ark Reichert kıkırdağı türevleri, mimik kasları ve fasiyal sinirle ilişkilidir. Boyun kisti/yarık sorularında da ikinci ark yarıklarının kapanma kusuru önemlidir.",2. ark = mimik kasları + CN VII + stapes.,Birinci ark çiğneme kasları ve trigeminal sinirle ayrılır.,Reichert kıkırdağı; Fasiyal sinir; Brankial yarık kisti,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-ucuncu-faringeal-pos,Üçüncü faringeal poş,Üçüncü faringeal poş; 3. faringeal poş; üçüncü poş,Histoloji ve embriyoloji,Faringeal poşlar,P0,80,Timus ve inferior paratiroid gelişimiyle ilişkili endodermal poştur.,"Dorsal kanadı inferior paratiroide, ventral kanadı timusa gelişir. Timusun kaudale göç etmesi nedeniyle inferior paratiroidin kökeni isimlendirmeye göre ters gibi görünebilir.",3. poş = timus + inferior paratiroid.,4. poş superior paratiroid ve ultimobrankial cisim ilişkisiyle ayrılır.,Timus; İnferior paratiroid; DiGeorge sendromu,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-dorduncu-faringeal-pos,Dördüncü faringeal poş,Dördüncü faringeal poş; 4. faringeal poş; dördüncü poş,Histoloji ve embriyoloji,Faringeal poşlar,P1,89,Superior paratiroid ve ultimobrankial cisim/parafoliküler C hücre hattıyla ilişkilendirilen poştur.,Dördüncü poşun dorsal kısmı superior paratiroide katkı verir; ultimobrankial cisim ise tiroid C hücreleriyle ilişkilendirilir. Timus-inferior paratiroid ilişkisini üçüncü poştan ayırmak için önemlidir.,4. poş = superior paratiroid; 3. poş = timus + inferior paratiroid.,Parafoliküler C hücrelerinin kendisi nöral krest katkısıyla ilişkilendirilir; poş yapısı göç ve yerleşim ortamını sağlar.,Superior paratiroid; Ultimobrankial cisim; Parafoliküler C hücresi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-faringeal-yarik,Faringeal yarık,Faringeal yarık; brankial yarık; pharyngeal cleft,Histoloji ve embriyoloji,Faringeal aparat,P0,69,Faringeal arkların dış yüzündeki ektodermal oluklardır.,İnsanda birinci yarık dış kulak yolu gibi yapılara katkı verir; diğer yarıkların kalıntıları brankial yarık kisti/sinüsü oluşturabilir. Poş-yarık ayrımı embriyoloji sorularında sık tuzaktır.,Yarık ektodermal dış yapı; poş endodermal iç yapı olarak ayrılır.,Lateral boyun kitlesinde brankial yarık kalıntısı; orta hatta dil hareketiyle yükselen kitlede tiroglossal kanal düşünülür.,Brankial yarık kisti; Faringeal poş; Tiroglossal kanal kisti,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-brankial-yarik-kisti,Brankial yarık kisti,Brankial yarık kisti; branchial cleft cyst; brankial kist; lateral boyun kisti,Histoloji ve embriyoloji,Faringeal aparat anomalileri,P0,15,"Faringeal yarık kalıntısından gelişen, genellikle lateral boyunda görülen konjenital kistik lezyondur.",Lateral boyunda sternokleidomastoid ön kenarı boyunca yerleşmesi tipiktir. Dil hareketiyle yükselmemesi tiroglossal kanal kistinden ayırmada kritik ipucudur.,Lateral boyun kitlesi + SCM ön kenarı = brankial yarık kisti düşün.,Tiroglossal kanal kisti orta hattadır ve dil çıkarma/yutkunmayla hareket edebilir.,Faringeal yarık; Sternokleidomastoid ön kenarı; Tiroglossal kanal kisti,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-tiroglossal-kanal,Tiroglossal kanal,Tiroglossal kanal; thyroglossal duct; ductus thyroglossus,Histoloji ve embriyoloji,Tiroid embriyolojisi,P0,130,Tiroid bezinin foramen caecumdan boyundaki yerine inişi sırasında geçici bağlantı oluşturan kanaldır.,"Normalde kaybolur; persiste ederse orta hatta tiroglossal kanal kisti gelişebilir. Dil hareketiyle yukarı hareket etmesi, dil köküyle embriyolojik bağlantıyı düşündürür.",Orta hat boyun kisti + dil hareketiyle yükselme = tiroglossal kanal kalıntısı.,Lateral boyun kisti brankial yarık kalıntısı lehinedir.,Tiroglossal kanal kisti; Foramen caecum; Tiroid gelişimi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-parafolikuler-c-hucresi,Parafoliküler C hücresi,Parafoliküler C hücresi; C hücresi; parafolliküler C hücreleri; thyroid C cell,Histoloji ve embriyoloji,Endokrin histoloji/embriyoloji,P1,16,Tiroid folikülleri arasında yer alan ve kalsitonin salgılayan hücredir.,Parafoliküler C hücreleri kalsitonin üretimiyle kalsiyum metabolizmasına katkı verir ve medüller tiroid karsinomu kökeni açısından önemlidir. Embriyolojik olarak nöral krest katkısı ve ultimobrankial cisim ilişkisiyle sorulabilir.,Medüller tiroid karsinomu C hücresi/kalsitonin ile ilişkilidir.,Folikül hücreleri tiroglobulin/T3-T4 üretir; C hücreleri kalsitonin üretir.,Kalsitonin; Ultimobrankial cisim; Medüller tiroid karsinomu,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-konotrunkal-septasyon,Konotrunkal septasyon,Konotrunkal septasyon; conotruncal septation; çıkış yolu septasyonu,Histoloji ve embriyoloji,Kalp embriyolojisi,P0,26,Embriyonik kalp çıkış yolunun aorta ve pulmoner trunkusa ayrılması sürecidir.,"Kardiyak nöral krest hücreleri bu ayrılmaya katkı verir. Kusurunda truncus arteriosus, büyük arter transpozisyonu veya Fallot spektrumu gibi siyanoz yapan çıkış yolu anomalileri gelişebilir.",Yenidoğan santral siyanozu + çıkış yolu defekti embriyolojik olarak konotrunkal septasyonu düşündürür.,AV septal defektler daha çok endokardiyal yastık mekanizmasıyla ilişkilidir.,Kardiyak nöral krest; Aortopulmoner septum; Truncus arteriosus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
