id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples,matchingPriority,answerLeakRisk,ambiguityRisk
v397-physiology-kapiller-hidrostatik-basinc,Kapiller hidrostatik basınç,Kapiller hidrostatik basınç | capillary hydrostatic pressure | kapiller basınç | Pc,Fizyoloji / dolaşım,Starling kuvvetleri,P0,Kapiller içindeki sıvıyı damar dışına doğru iten basınçtır.,Kapiller hidrostatik basınç arttığında filtrasyon artar ve interstisyel sıvı birikimi kolaylaşır. Venöz basınç artışı ve kalp yetmezliği ödeminde bu mekanizma önemlidir.,Hidrostatik basınç dışarı iter; onkotik basınç içeri çeker.,Hipoalbüminemi ödeminde ana sorun hidrostatik basınç artışı değil onkotik çekimin azalmasıdır.,Starling kuvvetleri | Kapiller onkotik basınç | Ödem fizyolojisi | İnterstisyel sıvı,184,"[Physiology Case v178-new-131-efor-dispnesi-ve-periferik-odem] diagnosis.optionComparison.Pulmoner kapiller basıncın düşmesiyle alveoler sıvı geçişinin artması: Pulmoner kapiller basınç düşerse sıvının alveol/interstisyuma geçişi azalır. Dispne, raller ve grafi bulguları basınç düşüşünü değil pulmoner venöz basınç artışını destekler. || [Physiology Case v178-new-131-efor-dispnesi-ve-periferik-odem] diagnosis.answerFeedback.optionComparison.Pulmoner kapiller basıncın düşmesiyle alveoler sıvı geçişinin artması: Pulmoner kapiller basınç düşerse sıvının alveol/interstisyuma geçişi azalır. Dispne, raller ve grafi bulguları basınç düşüşünü değil pulmoner venöz basınç artışını destekler.",98,low,low
v397-physiology-kapiller-onkotik-basinc,Kapiller onkotik basınç,Kapiller onkotik basınç | plazma onkotik basıncı | capillary oncotic pressure | kolloid osmotik basınç,Fizyoloji / dolaşım,Starling kuvvetleri,P0,Plazma proteinlerinin suyu kapiller içine çekme eğilimidir.,Albumin azalırsa kapiller onkotik basınç düşer ve sıvı interstisyuma kaçar. Nefrotik sendrom veya karaciğer yetmezliği ödemi bu mantıkla anlaşılır.,Albumin düşüklüğü ödemi kapiller onkotik basınç azalmasıyla yapar.,Hidrostatik basınç artışı sıvıyı dışarı iter; onkotik basınç azalması sıvıyı içeride tutamaz.,Albumin | Starling kuvvetleri | Ödem fizyolojisi | Kapiller hidrostatik basınç,40,[Physiology Case v174-new-097-egzersizde-bolgesel-kan-akimi-artisi] diagnosis.options[4]: Kapiller onkotik basınç azalmasının arteriyel giriş akımını pasif olarak artırması || [Physiology Case v189-new-274-kalp-yetmezliginde-bacak-odemi] diagnosis.options[1]: Plazma onkotik basıncının albumin kaybına bağlı azalması,98,low,low
v397-physiology-odem-fizyolojisi,Ödem fizyolojisi,Ödem fizyolojisi | edema physiology | ödem mekanizması,Fizyoloji / dolaşım,Sıvı dengesi,P0,"İnterstisyel sıvı artışının hidrostatik, onkotik, geçirgenlik veya lenfatik mekanizmalarla açıklanmasıdır.","Ödem; kapiller hidrostatik basınç artışı, plazma onkotik basınç azalması, kapiller geçirgenlik artışı veya lenfatik drenaj bozukluğu ile gelişebilir. Sınavda mekanizmayı bulguya göre ayırmak gerekir.","Ödem sorusunda dört ana mekanizma: hidrostatik ↑, onkotik ↓, geçirgenlik ↑, lenf drenajı ↓.",Kalp yetmezliği hidrostatik; nefrotik/karaciğer hastalığı onkotik; inflamasyon geçirgenlik; lenfödem drenaj bozukluğu yönünden okunur.,Kapiller hidrostatik basınç | Kapiller onkotik basınç | Lenfatik drenaj | İnterstisyel sıvı,12,[Physiology Case v189-new-274-kalp-yetmezliginde-bacak-odemi] diagnosis.optionComparison.Plazma onkotik basıncının albumin kaybına bağlı azalması: Hipoalbüminemi nefrotik sendrom veya ağır karaciğer hastalığında güçlü bir ödem mekanizmasıdır; ancak bu olguda albumin normal ve idrar proteini negatiftir. Bu nedenle onkotik basınç azalması primer açıklama değildir. || [Physiology Case v189-new-274-kalp-yetmezliginde-bacak-odemi] diagnosis.answerFeedback.optionComparison.Plazma onkotik basıncının albumin kaybına bağlı azalması: Hipoalbüminemi nefrotik sendrom veya ağır karaciğer hastalığında güçlü bir ödem mekanizmasıdır; ancak bu olguda albumin normal ve idrar proteini negatiftir. Bu nedenle onkotik basınç azalması primer açıklama değildir.,98,low,low
v397-physiology-gastrin,Gastrin,Gastrin | gastrin hormonu | G hücresi gastrini,Fizyoloji / gastrointestinal,Gastrik asit sekresyonu,P0,G hücrelerinden salgılanan ve mide asit sekresyonunu artıran peptid hormondur.,Gastrin parietal hücreleri doğrudan uyarır ve ECL hücrelerinden histamin salınımını artırır. Bu iki yol H+/K+ ATPaz aktivitesini güçlendirir.,Gastrin asidi artırır; ECL hücresi-histamin yolu bu etkinin önemli aracısıdır.,Sekretin duodenal asit yükünde pankreatik bikarbonatı artırır ve gastrik asidi baskılayıcı yönde çalışır.,G hücresi | ECL hücresi | Parietal hücre | H+/K+ ATPaz,44,"[Physiology Case ai-spot-vakasiz-secki-174] explanation: Doğru cevap A’dır. Sekretin, özellikle duodenuma geçen asidik kimusun uyarısıyla salınır ve pankreas duktus hücrelerinden bikarbonat sekresyonunu artırır. Bikarbonat, gastrik asidi nötralize ederek pankreatik enzimlerin çalışabileceği daha uygun pH ortamını oluşturur. Mide asit sekresyonunu artıran ana hormon gastrindir; safra kesesi kontraksiyonu ve pankreatik enzim sekresyonu ise daha çok… || [Physiology Case ai-spot-vakasiz-secki-174] answerAnalysisIntro: Bu soru gastrointestinal hormonları uyarıcı ve hedef etkilerine göre ayırmayı ölçer. Sekretin asit-bikarbonat, CCK yağ/protein-enzim/safra kesesi, gastrin asit sekresyonu ile eşleşir.",98,low,low
v397-physiology-h-k-atpaz,H+/K+ ATPaz,H+/K+ ATPaz | proton pompası | H-K ATPaz | gastrik proton pompası,Fizyoloji / gastrointestinal,Asit sekresyonu,P0,Parietal hücrenin apikal membranında mide lümenine H⁺ salgılayan proton pompasıdır.,"Mide asit sekresyonunun son ortak basamağıdır. Gastrin, histamin ve asetilkolin farklı yollarla bu pompanın aktivitesini artırır.",Gastrik asit sekresyonunda son ortak efektör H+/K+ ATPaz’dır.,Histamin/gastrin/ACh uyarıcı sinyallerdir; proton pompası asidi lümene veren son basamaktır.,Parietal hücre | Gastrin | ECL hücresi | Mide asit sekresyonu,6,"[Physiology Case v194-new-311-mide-asit-salgisinin-son-basamagi] diagnosis.explanation: Parietal hücrede karbonik anhidrazla oluşan H⁺, apikal membranda K⁺ ile değişim yapan H⁺/K⁺ ATPaz aracılığıyla mide lümenine pompalanır. Na⁺/K⁺ ATPaz ve Cl⁻/HCO₃⁻ değiştirici iyon gradyanlarını destekler; ancak lümene proton veren son ortak basamak apikal proton pompasıdır. || [Physiology Case v194-new-311-mide-asit-salgisinin-son-basamagi] diagnosis.answerFeedback.summary: Parietal hücrede karbonik anhidrazla oluşan H⁺, apikal membranda K⁺ ile değişim yapan H⁺/K⁺ ATPaz aracılığıyla mide lümenine pompalanır. Na⁺/K⁺ ATPaz ve Cl⁻/HCO₃⁻ değiştirici iyon gradyanlarını destekler; ancak lümene proton veren son ortak basamak apikal proton pompasıdır.",98,low,low
v397-physiology-kolesistokinin,Kolesistokinin,Kolesistokinin | CCK | cholecystokinin | kolesistokinin hormonu,Fizyoloji / gastrointestinal,Yağ-protein yanıtı,P0,Duodenum/jejunum I hücrelerinden yağ ve aminoasitlere yanıt olarak salgılanan hormondur.,CCK safra kesesi kontraksiyonunu ve pankreatik enzim sekresyonunu artırır; Oddi sfinkter gevşemesiyle yağ sindirimini destekler. Mide boşalmasını yavaşlatabilir.,Yağlı öğün → CCK → safra kesesi kasılması + pankreatik enzim sekresyonu.,Sekretin asit yüküne ve bikarbonata odaklıdır; CCK yağ/protein ve enzim/safra yanıtıdır.,I hücresi | Safra kesesi kontraksiyonu | Pankreatik enzim sekresyonu | Oddi sfinkteri,59,"[Physiology Case ai-spot-vakasiz-secki-174] explanation: Doğru cevap A’dır. Sekretin, özellikle duodenuma geçen asidik kimusun uyarısıyla salınır ve pankreas duktus hücrelerinden bikarbonat sekresyonunu artırır. Bikarbonat, gastrik asidi nötralize ederek pankreatik enzimlerin çalışabileceği daha uygun pH ortamını oluşturur. Mide asit sekresyonunu artıran ana hormon gastrindir; safra kesesi kontraksiyonu ve pankreatik enzim sekresyonu ise daha çok… || [Physiology Case ai-spot-vakasiz-secki-174] answerAnalysisIntro: Bu soru gastrointestinal hormonları uyarıcı ve hedef etkilerine göre ayırmayı ölçer. Sekretin asit-bikarbonat, CCK yağ/protein-enzim/safra kesesi, gastrin asit sekresyonu ile eşleşir.",98,low,low
v397-physiology-sekretin,Sekretin,Sekretin | secretin | S hücresi sekretini,Fizyoloji / gastrointestinal,Duodenal asit yanıtı,P0,Duodenum S hücrelerinden asit yüküne yanıt olarak salgılanan ve bikarbonat sekresyonunu artıran hormondur.,Sekretin pankreas kanal hücrelerinden HCO₃⁻ sekresyonunu artırarak duodenal asidi nötralize eder. Gastrik asit sekresyonunu ve mide boşalmasını baskılayıcı etki de gösterir.,Duodenuma asit gelirse sekretin artar; pankreatik bikarbonat sekresyonu uyarılır.,CCK yağ/protein yanıtı ve safra kesesi kontraksiyonu ile; sekretin asit-bikarbonat yanıtı ile sorulur.,S hücresi | Pankreatik bikarbonat sekresyonu | HCO₃⁻ | Mide boşalması,104,[Physiology Case ai-spot-vakasiz-secki-174] topic: Sekretin fizyolojisi || [Physiology Case ai-spot-vakasiz-secki-174] clinicalFocus: Sekretin fizyolojisi,98,low,low
v397-physiology-afterload,Afterload,Afterload | art yük | ejeksiyon direnci | ventrikül çıkış direnci,Fizyoloji / kardiyovasküler,Pompa fonksiyonu,P0,Ventrikülün kanı atarken yenmesi gereken basınç/direnç yüküdür.,Arteriyel basınç veya damar direnci arttığında ventrikül daha zor boşalır; ilk etki atım hacminin azalmasıdır. Bu nedenle hipertansiyon ve aort darlığı afterload mantığıyla okunur.,Afterload artarsa ejeksiyon zorlaşır ve atım hacmi azalır.,Preload dolum yüküdür; afterload çıkış direncidir.,Atım hacmi | Total periferik direnç | Ortalama arter basıncı | Kontraktilite,42,[Physiology Case v178-new-131-efor-dispnesi-ve-periferik-odem] diagnosis.options[2]: Afterload artışının sistolik boşalmayı kolaylaştırarak pulmoner basıncı düşürmesi || [Physiology Case v178-new-131-efor-dispnesi-ve-periferik-odem] diagnosis.optionComparison.Afterload artışının sistolik boşalmayı kolaylaştırarak pulmoner basıncı düşürmesi: Afterload artışı sistolik boşalmayı kolaylaştırmaz; ventrikülün kanı ileri pompalamasını zorlaştırabilir. Pulmoner basınç düşüşü değil konjesyon bulguları vardır.,98,low,low
v397-physiology-atim-hacmi,Atım hacmi,Atım hacmi | stroke volume | SV | sistolik atım hacmi,Fizyoloji / kardiyovasküler,Kalp debisi bileşeni,P0,Her ventrikül kasılmasında pompalanan kan hacmidir.,"Atım hacmi preload, afterload ve kontraktiliteden etkilenir. Kalp debisi hesaplanırken kalp hızıyla çarpılır.",Kalp debisi = atım hacmi × kalp hızı.,Ejeksiyon fraksiyonu oranı gösterir; atım hacmi mutlak hacimdir.,Kalp debisi | Preload | Afterload | Kontraktilite,284,"[Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] diagnosis.explanation: Akut kan kaybında venöz dönüş, atım hacmi ve arteriyel basınç düşer. Karotis sinüs ve aortik ark baroreseptörlerinin gerilimi azaldığı için ateşleme frekansı azalır. Medüller kardiyovasküler merkezler bunun sonucunda sempatik çıkışı artırıp vagal etkiyi azaltır; kalp hızı, kontraktilite ve sistemik damar direnci yükselerek basınç desteklenir. || [Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] diagnosis.answerFeedback.summary: Akut kan kaybında venöz dönüş, atım hacmi ve arteriyel basınç düşer. Karotis sinüs ve aortik ark baroreseptörlerinin gerilimi azaldığı için ateşleme frekansı azalır. Medüller kardiyovasküler merkezler bunun sonucunda sempatik çıkışı artırıp vagal etkiyi azaltır; kalp hızı, kontraktilite ve sistemik damar direnci yükselerek basınç desteklenir.",98,low,low
v397-physiology-kalp-debisi,Kalp debisi,Kalp debisi | cardiac output | CO | kardiyak debi,Fizyoloji / kardiyovasküler,Dolaşım performansı,P0,Kalbin bir dakikada pompaladığı toplam kan hacmidir.,Kalp debisi atım hacmi ve kalp hızının çarpımıdır. Doku perfüzyonunu belirlerken total periferik direnç ve ortalama arter basıncıyla birlikte yorumlanır.,CO = HR × SV; şok ve egzersiz sorularında temel denklem budur.,Kan basıncı yüksek olsa bile kalp debisi düşük olabilir; basınç ve akım ayrı kavramlardır.,Atım hacmi | Kalp hızı | Ortalama arter basıncı | Total periferik direnç,2540,[Physiology Case v169-new-068-kronik-dispne-ve-hava-hapsi] investigations[1].summary: Gaz değişimi verileri hafif hipoksemi olduğunu gösterir; PaCO₂’nin normal-yüksek olması ventilatuvar rezervin sınırlanmaya başladığını düşündürür. || [Physiology Case v169-new-068-kronik-dispne-ve-hava-hapsi] investigations[1].clinicalMeaning: Gaz değişimi verileri hafif hipoksemi olduğunu gösterir; PaCO₂’nin normal-yüksek olması ventilatuvar rezervin sınırlanmaya başladığını düşündürür.,98,low,low
