id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceExamples
v407-small-clerkships-hsv-ensefaliti,HSV ensefaliti,HSV ensefaliti; herpes simpleks ensefaliti; HSV encephalitis,Küçük Stajlar,Nöroloji - enfeksiyöz aciller,P0,HSV’nin özellikle temporal/orbitofrontal lobları tutabilen nekrotizan ensefalit tablosudur.,"Ateş, davranış değişikliği, nöbet, fokal bulgu ve temporal lob tutulumu birlikteyse PCR sonucu beklenmeden intravenöz asiklovir başlanır. Tedavi gecikmesi kalıcı nörolojik sekel ve mortalite riskini artırır.",Temporal lob + ateş + nöbet/davranış değişikliği = HSV ensefaliti; tedavide PCR beklenmez.,"Bakteriyel menenjitte ense sertliği ve nötrofilik BOS daha baskındır; HSV’de ensefalitik tablo, nöbet ve temporal lob ipucu öne çıkar.",Temporal lob tutulumu; İntravenöz asiklovir; BOS PCR,12,"HSV ensefaliti || Ateş, davranış değişikliği, nöbet ve temporal lob tutulumu hangi ensefaliti düşündürür? || HSV ensefaliti."
v407-small-clerkships-temporal-lob-tutulumu,Temporal lob tutulumu,Temporal lob tutulumu; temporal lob lezyonu,Küçük Stajlar,Nöroloji - lokalizasyon,P1,MR/klinik bulguların temporal lob anatomisiyle ilişkili olduğunu ifade eder.,"HSV ensefalitinde temporal lob tutulumu davranış değişikliği, afazi, nöbet ve bellek bozukluğu gibi bulgularla ilişkilidir. Lokalizasyon ipucu tanıyı sıradan menenjit tablosundan ayırır.",Ensefalit sorusunda temporal lob vurgusu HSV lehine güçlü ipucudur.,"Frontal bulgular kişilik/planlama değişikliği yapabilir; temporal tutulumda nöbet, afazi ve bellek paternleri daha belirgindir.",HSV ensefaliti; Afazi; Nöbet,3,"Yakınları hastanın 90 dakika önce kahvaltı sırasında aniden kelimeleri çıkaramadığını ve sağ kolunu masadan kaldıramadığını anlatır. Başlangıç zamanı net olarak bilinir ve hasta bu olaydan kısa süre önce normal konuşmaktadır. Baş ağrısı, bilinç kaybı, nöbet, kafa travması veya benzer geçici atak öyküsü tariflenmez. Ailesi düzenli antikoagülan kullanımını bilmediğini, son günlerde cerrahi veya belirgin kanama olmadığını söyler. Acile geldiğinde bilinç açıktır ancak ekspresif afazi nedeniyle ileti || Net başlangıç zamanlı afazi, sağ santral fasiyal etkilenme ve sağ üst ekstremite güçsüzlüğü vardır. || Hipoglisemi, nöbet ve travma öyküsü klinik olarak geri plandadır; reperfüzyon penceresinde kanama dışlama basamağı belirleyicidir."
v407-small-clerkships-orbitofrontal-lob-tutulumu,Orbitofrontal lob tutulumu,Orbitofrontal lob tutulumu; orbitofrontal tutulum,Küçük Stajlar,Nöroloji - lokalizasyon,P1,Frontal lobun davranış ve kişilik kontrolüyle ilişkili orbitofrontal bölgesinin etkilenmesidir.,"HSV ensefaliti temporal lob yanında orbitofrontal alanları da tutabilir; bu nedenle kişilik değişikliği, ajitasyon ve uygunsuz davranış tabloya eşlik edebilir.","Ateşli ensefalit + davranış değişikliği yalnız psikiyatrik değil, orbitofrontal/temporal tutulum olabilir.","Saf psikiyatrik bozuklukta ateş, BOS/MR bulgusu ve fokal nörolojik bulgu beklenmez.",HSV ensefaliti; Davranış değişikliği; Temporal lob tutulumu,0,"HSV ensefaliti || Ateş, davranış değişikliği, nöbet ve temporal lob tutulumu hangi ensefaliti düşündürür? || HSV ensefaliti."
v407-small-clerkships-intravenoz-asiklovir,İntravenöz asiklovir,İntravenöz asiklovir; IV asiklovir; ampirik asiklovir,Küçük Stajlar,Nöroloji - antiviral tedavi,P0,HSV ensefaliti şüphesinde gecikmeden verilen damar içi antiviral tedavidir.,Klinik şüphe yüksekse BOS PCR veya MR sonucu beklenirken bile tedavi başlanır. Böbrek fonksiyonu ve hidrasyon izlenmelidir; amaç viral replikasyonu erken baskılayarak nörolojik hasarı azaltmaktır.,"HSV ensefalitinde “önce tanıyı kesinleştir” değil, ampirik IV asiklovir başla.",Seftriakson gibi antibakteriyeller bakteriyel menenjiti karşılar; HSV ensefaliti için antiviral eklenmelidir.,HSV ensefaliti; BOS PCR; Temporal lob tutulumu,6,"HSV ensefaliti || Ateş, davranış değişikliği, nöbet ve temporal lob tutulumu hangi ensefaliti düşündürür? || HSV ensefaliti."
v407-small-clerkships-bos-hsv-pcr,BOS HSV PCR,BOS HSV PCR; HSV PCR; BOS PCR,Küçük Stajlar,Nöroloji - BOS tanısı,P1,Beyin omurilik sıvısında HSV DNA’sını saptayan moleküler testtir.,HSV ensefalitinde tanıyı destekleyen temel testtir; ancak klinik şüphe güçlü olduğunda tedavi PCR sonucunu beklememelidir. Negatif erken test uyumsuz klinikte tekrar değerlendirilebilir.,HSV PCR tanıyı güçlendirir; tedavi kararını geciktirmez.,Bakteriyel kültür/Gram boyama menenjit etkenini arar; HSV PCR ensefalitik viral tablo için daha hedeflidir.,HSV ensefaliti; İntravenöz asiklovir; BOS,1,Trombosit || Yüksek ESR/CRP ve trombositoz kraniyal büyük damar inflamasyonunu destekler; normal veya sınıra yakın değerler klinik şüpheyi tek başına dışlamaz. || Reaktif trombositoz eşlik ediyor
v407-small-clerkships-nekrotizan-ensefalit,Nekrotizan ensefalit,Nekrotizan ensefalit; nekrotizan HSV ensefaliti,Küçük Stajlar,Nöroloji - enfeksiyöz patoloji,P1,Beyin dokusunda inflamasyonla birlikte doku nekrozu gelişen ağır ensefalit paternidir.,HSV ensefaliti klasik olarak temporal loblarda nekrotizan karakter gösterebilir. Bu ifade hastalığın neden hızlı tedavi gerektirdiğini ve kalıcı sekel riskini açıklar.,Nekrotizan temporal ensefalit ifadesi HSV için yüksek getirili patoloji ipucudur.,Basit viral menenjit daha çok meninks irritasyonu yapar; nekrotizan ensefalit beyin parankimini tutar.,HSV ensefaliti; Temporal lob tutulumu; İntravenöz asiklovir,2,"HSV ensefaliti || Ateş, davranış değişikliği, nöbet ve temporal lob tutulumu hangi ensefaliti düşündürür? || HSV ensefaliti."
v407-small-clerkships-internukleer-oftalmopleji,İnternükleer oftalmopleji,İnternükleer oftalmopleji; INO,Küçük Stajlar,Nöroloji - okülomotor lokalizasyon,P0,Adduksiyon kusuru ve karşı gözde abdüksiyon nistagmusu ile tanınan MLF lezyonu bulgusudur.,Genç erişkinde ataklarla giden internükleer oftalmopleji multipl skleroz için çok değerli lokalizasyon ipucudur. Lezyon beyin sapındaki medial longitudinal fasciculus düzeyindedir.,INO + genç hasta + ataklı nörolojik bulgular = MS düşün.,Periferik okülomotor sinir felçlerinde pupil/göz kası paterni farklıdır; INO santral MLF lezyonudur.,Medial longitudinal fasciculus; Multipl skleroz; Okülomotor bulgu,271,minor-rotations || Taze lezyon kenarından alınan biyopside suprabazal akantoliz ve intraepidermal bül izlenmesi keratinositler arası adezyon kaybını gösterir. || Akantolitik keratinositler izleniyor
v407-small-clerkships-medial-longitudinal-fasciculus,Medial longitudinal fasciculus,Medial longitudinal fasciculus; MLF,Küçük Stajlar,Nöroloji - beyin sapı traktı,P1,Yatay bakışta iki gözün koordinasyonunu sağlayan beyin sapı bağlantı yoludur.,MLF lezyonu internükleer oftalmoplejiye yol açar. MS sorularında genç hastada diplopi ve adduksiyon kusurunu anatomik olarak açıklayan temel yapıdır.,INO’nun anatomik karşılığı MLF lezyonudur.,III. sinir felci tek sinir paternidir; MLF lezyonu iki göz koordinasyon bozukluğudur.,İnternükleer oftalmopleji; Multipl skleroz; Beyin sapı,1,Yanlıştır. Optik sinir demiyelinizasyonu optik nörit ve multipl skleroz gibi hastalıklarla ilişkilidir. Parkinson motor bulgularını açıklamaz. || Multipl skleroz || Genç kadında internükleer oftalmopleji ve ataklarla seyreden nörolojik bulgular ne düşündürür?
v407-small-clerkships-zamanda-ve-mekanda-yayilim,Zamanda ve mekânda yayılım,Zamanda ve mekânda yayılım; zamanda-mekanda yayılım; dissemination in time and space,Küçük Stajlar,Nöroloji - demiyelinizasyon tanısı,P0,MS tanısında farklı zamanlarda ve farklı santral sinir sistemi bölgelerinde lezyon varlığını anlatır.,Tek bir nörolojik atak MS için yeterli olmayabilir; MR ve klinik öykü lezyonların hem anatomik olarak ayrı hem de zaman içinde tekrarlayıcı olduğunu göstermelidir.,MS tanısında ana mantık: zamanda + mekânda yayılım.,Tek odaklı inme ani ve vasküler dağılıma uyar; MS lezyonları çok odaklı ve ataklıdır.,Multipl skleroz; Periventriküler plak; Oligoklonal IgG bantları,4,Yanlıştır. Optik sinir demiyelinizasyonu optik nörit ve multipl skleroz gibi hastalıklarla ilişkilidir. Parkinson motor bulgularını açıklamaz. || Multipl skleroz || Multipl skleroz.
v407-small-clerkships-periventrikuler-plak,Periventriküler plak,Periventriküler plak; periventriküler lezyon; periventriküler demiyelinizan plak,Küçük Stajlar,Nöroloji - MR bulgusu,P1,Ventrikül çevresinde görülen demiyelinizan MS lezyonudur.,"MS’de MR lezyonlarının periventriküler, juxtakortikal, infratentorial veya spinal yerleşimi mekânda yayılımı destekler. Periventriküler plak ifadesi klasik MS görüntüleme ipucudur.",Periventriküler demiyelinizan plaklar MS lehine güçlü MR bulgusudur.,Lakun enfarktlar vasküler risk ve küçük damar paterniyle gider; MS plağı demiyelinizan dağılım gösterir.,Multipl skleroz; Zamanda ve mekânda yayılım; MR,2,Yanlıştır. Optik sinir demiyelinizasyonu optik nörit ve multipl skleroz gibi hastalıklarla ilişkilidir. Parkinson motor bulgularını açıklamaz. || Multipl skleroz || Multipl skleroz.
