id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v399-biochemistry-ala-sentaz,ALA sentaz,"[""ALA sentaz"", ""aminolevulinik asit sentaz"", ""ALAS"", ""delta-aminolevulinic acid synthase""]",Tıbbi Biyokimya,Hem metabolizması,P0,Glisin ve süksinil-CoA’dan delta-aminolevulinik asit oluşturan hem sentezinin hız kısıtlayıcı enzimidir.,ALA sentaz B6 bağımlıdır ve karaciğerde hem tarafından negatif feedback ile baskılanır. İlaçlar veya açlık hem tüketimini artırıp ALAS1’i uyararak porfiria atağını tetikleyebilir.,Hem sentezinin hız kısıtlayıcı basamağı ALA sentazdır.,ALA dehidrataz bir sonraki sitozolik basamaktır; ALA sentaz başlangıç ve hız kısıtlayıcı basamaktır.,"[""Porfirin sentezi"", ""Piridoksal fosfat"", ""Hem feedback inhibisyonu"", ""Akut intermittan porfiri""]",14,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case ai-spot-vakasiz-secki-104] explanation: Doğru cevap A’dır. G6PD eksikliğinde pentoz fosfat yolundan yeterli NADPH üretilemez. NADPH, okside glutatyonun tekrar indirgenmiş glutatyona çevrilmesi için gereklidir; indirgenmiş glutatyon ise peroksitleri ve reaktif oksijen türlerini detoksifiye eder. Eritrositlerde mitokondri olmadığı için alternatif antioksidan kapasite sınırlıdır. Oksidatif ilaçlar, enfeksiyonlar veya bakla gibi tetikleyiciler hemoglobin denatürasyonuna, heinz cisim…""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case ai-spot-vakasiz-secki-104] optionFeedback.Hemoglobinin beta zincir sentezinin tamamen durması: Yanlıştır. Beta globin zincir sentezinin azalması beta talasemi ile ilişkilidir. G6PD eksikliği globin sentez kusuru değil, antioksidan savunma kusurudur.""}]"
v399-biochemistry-aclik-hipoglisemisi,Açlık hipoglisemisi,"[""Açlık hipoglisemisi"", ""fasting hypoglycemia"", ""açlıkta hipoglisemi""]",Tıbbi Biyokimya,Metabolik patern,P0,Beslenme arası uzadığında kan glukozunun düşmesidir.,"Açlık hipoglisemisi; glikojenoliz, glukoneogenez veya yağ asidi oksidasyon kusurlarını düşündürür. Eşlik eden keton, laktat, hepatomegali ve yağ asidi oksidasyon bulguları ayırıcı tanıyı belirler.","Açlık hipoglisemisinde keton var mı, laktat yüksek mi, hepatomegali var mı diye ayrım yapılır.",Postprandiyal hipoglisemi insülin fazlalığı veya karbonhidrat metabolizma yanıtıyla daha ilişkili olabilir.,"[""Glukoneogenez"", ""Glikojenoliz"", ""Yağ asidi beta oksidasyonu"", ""Ketotik hipoglisemi""]",248,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] learningTarget: Açlık hipoglisemisi olan bebekte glukoz-6-fosfataz eksikliğine bağlı glikojenoliz/glukoneogenez son basamak blokajını laboratuvar paterniyle tanıma.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] diagnosis.explanation: Açlıkta karaciğer glikojenoliz ve glukoneogenez yoluyla glukoz-6-fosfat üretir; bu ara ürünün serbest glukoza çevrilememesi kana glukoz çıkışını engeller. Bu nedenle ağır açlık hipoglisemisi gelişirken glukoz-6-fosfat türevleri laktat, ürik asit ve trigliserid artışına yönelir; hepatomegali de karaciğerde glikojen/lipid birikimini destekler.""}]"
v399-biochemistry-biotin,Biotin,"[""Biotin"", ""vitamin B7"", ""biyotin""]",Tıbbi Biyokimya,Vitamin / kofaktör,P0,Karboksilaz enzimlerinde CO₂ taşıyan suda çözünen vitamin kofaktörüdür.,"Biotin; piruvat karboksilaz, asetil-CoA karboksilaz ve propiyonil-CoA karboksilaz gibi enzimlerde kullanılır. Eksikliğinde karboksilasyon reaksiyonları aksar ve metabolik asidoz/dermatit-nörolojik bulgular görülebilir.",Biotin karboksilazların kofaktörüdür.,B6 transaminasyon; biotin karboksilasyon; B12 metilmalonil-CoA mutaz/metiyonin sentaz için önemlidir.,"[""Piruvat karboksilaz"", ""Propiyonil-CoA karboksilaz"", ""Avidin"", ""Biotinidaz eksikliği""]",186,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v173-new-088-norolojik-bulgular-ve-laktik-asidoz] diagnosis.answerFeedback.optionComparison.Pirüvat karboksilaz aktivitesinin azalması: Pirüvat karboksilaz biotin bağımlı olarak pirüvatı oksaloasetata çevirir; eksikliğinde laktik asidoz görülebilir. Ancak bu vakada karbonhidrat sonrası pirüvatın asetil-KoA girişindeki blokla uyumlu laktat-alanin-pirüvat paterni ve üst-normal laktat/pirüvat oranı PDH defektini daha iyi destekler.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v173-new-088-norolojik-bulgular-ve-laktik-asidoz] diagnosis.answerFeedback.whyWrong.Pirüvat karboksilaz aktivitesinin azalması: Pirüvat karboksilaz biotin bağımlı olarak pirüvatı oksaloasetata çevirir; eksikliğinde laktik asidoz görülebilir. Ancak bu vakada karbonhidrat sonrası pirüvatın asetil-KoA girişindeki blokla uyumlu laktat-alanin-pirüvat paterni ve üst-normal laktat/pirüvat oranı PDH defektini daha iyi destekler.""}]"
v399-biochemistry-delta-aminolevulinik-asit,Delta-aminolevulinik asit,"[""Delta-aminolevulinik asit"", ""ALA"", ""δ-ALA"", ""aminolevulinik asit""]",Tıbbi Biyokimya,Hem metabolizması,P0,ALA sentaz reaksiyonuyla oluşan erken hem sentezi ara ürünüdür.,ALA nörotoksik prekürsörlerden biridir; akut porfiri veya ALA dehidrataz inhibisyonunda yükselebilir. Karın ağrısı ve nörolojik bulgular bu birikimle ilişkilendirilebilir.,Akut porfirilerde nörovisseral bulgular ALA/PBG artışıyla ilişkilidir.,Porfobilinojen bir sonraki ara üründür; ALA daha erken basamaktır.,"[""ALA sentaz"", ""ALA dehidrataz"", ""Porfobilinojen"", ""Akut intermittan porfiri""]",1027,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] chiefComplaint: Beslenme araları uzadığında terleme, huzursuzluk ve nöbet benzeri ataklar gelişmesi""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] stem: Aile, bebeğin özellikle gece beslenmesi geciktiğinde terlediğini, huzursuzlaştığını ve kısa süreli dalgınlık atakları yaşadığını anlatır. Atakların beslenmeden sonra kısmen düzeldiği, son aylarda karın şişliğinin ve büyüme geriliğinin belirginleştiği öğrenilir. Yakınmalar belirli bir ek gıda alımından çok açlık süresinin uzamasıyla ilişkilidir. Ailede akraba evliliği vardır; tekrarlayan enfeksiyon öyküsü belirgin değildir.""}]"
v399-biochemistry-elektron-tasima-zinciri,Elektron taşıma zinciri,"[""Elektron taşıma zinciri"", ""ETC"", ""electron transport chain"", ""solunum zinciri""]",Tıbbi Biyokimya,Mitokondriyal enerji metabolizması,P0,NADH/FADH₂ elektronlarını oksijene aktararak proton gradyenti oluşturan iç mitokondriyal membran kompleksleridir.,Elektron taşıma zinciri proton itici güç oluşturur; ATP sentaz bu gradyenti ATP üretmek için kullanır. Kusurları laktik asidoz ve yüksek enerji gereksinimli dokularda bulgu yapabilir.,"ETC elektron akışını proton gradyentine, ATP sentaz ATP’ye çevirir.",TCA NADH/FADH₂ üretir; ETC bunları kullanarak oksidatif fosforilasyonu yürütür.,"[""Oksidatif fosforilasyon"", ""NADH"", ""FADH2"", ""ATP sentaz""]",23,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v173-new-088-norolojik-bulgular-ve-laktik-asidoz] investigations[1].summary: Pirüvatın artması ve laktat/pirüvat oranının belirgin yükselmemesi, primer solunum zinciri redoks blokajından çok pirüvat kullanım basamağında sorun olabileceğini düşündürür.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v173-new-088-norolojik-bulgular-ve-laktik-asidoz] investigations[1].clinicalMeaning: Pirüvatın artması ve laktat/pirüvat oranının belirgin yükselmemesi, primer solunum zinciri redoks blokajından çok pirüvat kullanım basamağında sorun olabileceğini düşündürür.""}]"
v399-biochemistry-fibrillin-1,Fibrillin-1,"[""Fibrillin-1"", ""fibrillin 1"", ""FBN1""]",Tıbbi Biyokimya,Bağ dokusu biyokimyası,P0,Elastik lif mikrofibrillerinin temel yapısal proteinidir.,"FBN1 kusuru Marfan sendromunda elastik bağ dokusu bütünlüğünü bozar; aort kökü dilatasyonu, lens subluksasyonu ve uzun ekstremite paternleri bu yapısal kusurla ilişkilidir.",Marfan sendromu fibrillin-1 kusurudur.,Homosistinüride lens/tromboz metabolik nedenle olur; Marfan’da fibrillin-1 yapısal kusurdur.,"[""Marfan sendromu"", ""Elastik lif"", ""Lens subluksasyonu"", ""Aort kökü dilatasyonu""]",17,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry TUS Pearl Card Marfan sendromu proteini] mainAnswer: Fibrillin-1 kusuru.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry TUS Pearl Card Marfan sendromu proteini] explanation: FBN1 mutasyonu elastik dokuların yapısını ve TGF-beta sinyalini etkiler.""}]"
v399-biochemistry-fitanik-asit,Fitanik asit,"[""Fitanik asit"", ""phytanic acid""]",Tıbbi Biyokimya,Peroksizom metabolizması,P0,Alfa oksidasyonla yıkılması gereken dallanmış zincirli yağ asididir.,"Fitanik asit alfa oksidasyon kusurunda birikir ve Refsum hastalığıyla ilişkilidir. Retinitis pigmentosa, nöropati, ataksi ve anosmi gibi bulgularla sorulabilir.",Refsum hastalığında fitanik asit birikimi ve alfa oksidasyon kusuru birlikte düşünülür.,VLCFA daha çok beta oksidasyon/peroksizom; fitanik asit alfa oksidasyon mantığıdır.,"[""Alfa oksidasyon"", ""Refsum hastalığı"", ""Peroksizom"", ""Retinitis pigmentosa""]",10,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Hap Card Override tus-pearl-medical-biochemistry-231-spot] front: Fitanik asit birikimi, retinitis pigmentosa ve periferik nöropati hangi peroksizomal oksidasyon kusurunu düşündürür?""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Hap Card Override tus-pearl-medical-biochemistry-231-spot] explanation: Refsum hastalığında fitanik asidin peroksizomal alfa oksidasyonu bozulur. Fitanik asit dallanmış zincirli yapısı nedeniyle doğrudan beta oksidasyona giremez; önce alfa oksidasyon gerekir, bu basamak aksayınca nörolojik ve retinal bulgular gelişir.""}]"
v399-biochemistry-folat-tuzagi,Folat tuzağı,"[""Folat tuzağı"", ""methylfolate trap"", ""metilfolat tuzağı""]",Tıbbi Biyokimya,Vitamin / tek karbon metabolizması,P0,B12 eksikliğinde folatın 5-metil-THF formunda sıkışıp DNA sentezi için kullanılamaması durumudur.,Metiyonin sentaz çalışmadığında 5-metil-THF yeniden diğer folat formlarına dönemez. Bu nedenle B12 eksikliği folat var olsa bile megaloblastik anemi yapabilir.,B12 eksikliği folat tuzağıyla megaloblastik anemi yapar.,Folat eksikliğinde metilmalonik asit artmaz; B12 eksikliğinde hem homosistein hem metilmalonik asit artabilir.,"[""Vitamin B12"", ""Metiyonin sentaz"", ""Homosistein"", ""Megaloblastik anemi""]",0,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""Terim, taranan Tıbbi Biyokimya olgu/hap kart konusunun mekanizma veya safeNested açıklama ihtiyacından türetildi; exact cümle eşleşmesi bulunmadı.""}]"
v399-biochemistry-fruktoz-1-6-bisfosfataz,"Fruktoz-1,6-bisfosfataz","[""Fruktoz-1,6-bisfosfataz"", ""fructose-1,6-bisphosphatase"", ""FBPase-1""]",Tıbbi Biyokimya,Glukoneogenez,P0,"Fruktoz-1,6-bisfosfatı fruktoz-6-fosfata çeviren glukoneogenez enzimidir.",Eksikliğinde açlık ve hastalık sırasında glukoneogenez yetersiz kalır; hipoglisemi ve laktik asidoz gelişebilir. Bu tablo glukoz üretim yolunun orta basamak blokajı gibi düşünülmelidir.,"Fruktoz-1,6-bisfosfataz eksikliği açlıkla hipoglisemi + laktik asidoz yapar.",Von Gierke son basamağı; FBPase eksikliği glukoneogenezin daha önceki basamağını bozar.,"[""Glukoneogenez"", ""Fruktoz-1,6-bisfosfat"", ""Laktik asidoz"", ""Açlık hipoglisemisi""]",128,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v194-new-315-meyve-puresi-sonrasi-kusma-ve-hipoglisemi] diagnosis.options[4]: Fruktoz-1,6-bisfosfataz eksikliği""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case ai-spot-vakasiz-secki-071] options[1].text: Fosfofruktokinaz-1 aktivasyonu ve fruktoz-1,6-bisfosfataz inhibisyonu""}]"
v399-biochemistry-fruktoz-1-fosfat,Fruktoz-1-fosfat,"[""Fruktoz-1-fosfat"", ""fructose-1-phosphate"", ""F1P""]",Tıbbi Biyokimya,Fruktoz metabolizması,P0,Fruktozun karaciğerde fosforillenmesiyle oluşan ve aldolaz B ile yıkılan ara metabolittir.,"Aldolaz B eksikliğinde fruktoz-1-fosfat birikir; fosfatı bağlayarak ATP azalmasına, glikojenoliz/glukoneogenez baskılanmasına ve hipoglisemiye neden olur.",Meyve/şeker sonrası kusma + hipoglisemi + karaciğer bulgusu herediter fruktoz intoleransını düşündürür.,Esansiyel fruktozüri genellikle benign fruktokinaz kusurudur; aldolaz B kusuru toksik F1P birikimi yapar.,"[""Aldolaz B"", ""Herediter fruktoz intoleransı"", ""ATP azalması"", ""Hipoglisemi""]",87,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] diagnosis.answerFeedback.optionComparison.Aldolaz B eksikliği: Aldolaz B eksikliği fruktoz veya sükroz alımı sonrası fruktoz-1-fosfat birikimiyle hipoglisemi yapar. Bu hastada ataklar belirli şeker alımından değil açlığın uzamasından sonra geliştiği için fruktoz metabolizması kusuru ön planda değildir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js / src/data/tusPearlMedicalBiochemistryFirst74Overrides.js"", ""text"": ""[Medical Biochemistry Case v163-new-010-aclikla-belirginlesen-metabolik-tablo] diagnosis.answerFeedback.whyWrong.Aldolaz B eksikliği: Aldolaz B eksikliği fruktoz veya sükroz alımı sonrası fruktoz-1-fosfat birikimiyle hipoglisemi yapar. Bu hastada ataklar belirli şeker alımından değil açlığın uzamasından sonra geliştiği için fruktoz metabolizması kusuru ön planda değildir.""}]"
