id,term,aliases,category,subcategory,priority,occurrenceCount,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,sourceTextExamples
v403-internal-medicine-akut-dekompanse-kalp-yetmezligi,Akut dekompanse kalp yetmezliği,"[""ADHF"", ""dekompanse kalp yetmezliği""]",İç Hastalıkları,Kardiyoloji / Kalp yetmezliği,P0,0,"Kronik veya yeni kalp yetmezliğinin dispne, konjesyon ve perfüzyon bozulmasıyla akut kötüleşmesidir.","Sol ventrikül dolum basıncı artınca pulmoner konjesyon, sağ kalp yüklenince periferik ödem ve juguler venöz dolgunluk gelişir. İç hastalıkları sorusunda ilk ayrım hastanın sıcak-soğuk ve ıslak-kuru profilidir; oksijenizasyon, diürez ve tetikleyici neden birlikte değerlendirilir.",Akut dispne + raller + ödem/JVD kalp yetmezliği dekompansasyonunu düşündürür; hipotansiyon varsa vazodilatör değil perfüzyon önceliklidir.,"KOAH alevlenmesinde wheezing ve hiperinflasyon baskındır; kalp yetmezliğinde ortopne, BNP artışı ve pulmoner konjesyon daha yol göstericidir.","[""Pulmoner ödem"", ""BNP"", ""Juguler venöz dolgunluk""]","[{""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.investigations[3].result.values[1][3]"", ""text"": ""Belirgin pulmoner ödem yok""}, {""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.investigations[3].result.rows[1][3]"", ""text"": ""Belirgin pulmoner ödem yok""}]"
v403-internal-medicine-hfref,HFrEF,"[""sistolik kalp yetmezliği"", ""düşük EF kalp yetmezliği""]",İç Hastalıkları,Kardiyoloji / Kalp yetmezliği,P1,0,Ejeksiyon fraksiyonunun azaldığı sistolik kalp yetmezliği fenotipidir.,"Temel problem ventrikülün kanı ileri pompalama gücünün azalmasıdır; nörohormonal aktivasyon başlangıçta kompansatuvar olsa da uzun dönemde remodeling ve mortaliteyi artırır. Bu nedenle RAAS blokajı, beta bloker, MRA ve SGLT2 inhibitörü gibi mortalite azaltan tedaviler ayrı önem taşır.",Düşük EF + kalp yetmezliği = semptom kontrolünden önce mortalite azaltan temel tedavi sınıflarını düşün.,HFpEF’de EF korunmuştur; sorun daha çok diyastolik dolum/sert ventrikül ve komorbidite yüküdür.,"[""Ejeksiyon fraksiyonu"", ""RAAS"", ""SGLT2 inhibitörü""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-021-aclik-ve-kusma-sonrasi-metabolik-bozulma.stem"", ""text"": ""Son iki haftadır belirgin susama, sık idrara çıkma ve istemsiz kilo kaybı olduğunu anlatır. Son 24 saatte bulantı, tekrarlayan kusma ve yaygın karın ağrısı belirginleşmiş; son saatlerde nefesinin derin ve hızlı hale geldiği fark edilmiştir. Daha önce diyabet tanısı almamıştır ve düzenli ilaç kullanımı yoktur. Ateş, ishal, alkol alımı veya SGLT2 inhibitörü kullanımı öyküsü bulunmamaktadır. Son bir gündür ağızdan sıvı ""}, {""sourceFilePath"": ""src/data/cases.js::v165-new-021-aclik-ve-kusma-sonrasi-metabolik-bozulma.patientIntro.historySummary"", ""text"": ""Son iki haftadır belirgin susama, sık idrara çıkma ve istemsiz kilo kaybı olduğunu anlatır. Son 24 saatte bulantı, tekrarlayan kusma ve yaygın karın ağrısı belirginleşmiş; son saatlerde nefesinin derin ve hızlı hale geldiği fark edilmiştir. Daha önce diyabet tanısı almamıştır ve düzenli ilaç kullanımı yoktur. Ateş, ishal, alkol alımı veya SGLT2 inhibitörü kullanımı öyküsü bulunmamaktadır. Son bir gündür ağızdan sıvı ""}]"
v403-internal-medicine-hfpef,HFpEF,"[""korunmuş EF kalp yetmezliği""]",İç Hastalıkları,Kardiyoloji / Kalp yetmezliği,P1,0,"Ejeksiyon fraksiyonunun korunduğu, diyastolik dolum bozukluğu ağırlıklı kalp yetmezliği fenotipidir.","Ventrikül kasılması korunmuş olsa da ventrikül sertliği ve dolum basıncı artışı dispne ve pulmoner konjesyon yapabilir. Hipertansiyon, yaş, obezite ve atriyal fibrilasyonla sık birliktedir; tedavide komorbidite kontrolü ve konjesyon yönetimi öne çıkar.",EF normal diye kalp yetmezliği dışlanmaz; HFpEF’de dolum basıncı ve klinik konjesyon belirleyicidir.,HFrEF’de pompa gücü azalır; HFpEF’de dolum basıncı artışı ve diyastolik disfonksiyon ön plandadır.,"[""Diyastolik disfonksiyon"", ""Atriyal fibrilasyon"", ""Hipertansiyon""]","[{""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.stem"", ""text"": ""Yakınmaları son iki günde iştahsızlık ve giderek belirginleşen kas güçsüzlüğü ile başlamış; bugün merdiven çıkarken çabuk yorulma ve düzensiz kalp atımı hissi eklenmiştir. Evre 4 kronik böbrek hastalığı ve hipertansiyon nedeniyle ramipril kullandığı, son hafta idrar miktarının azaldığı öğrenilir. Tuz yerine potasyum içeren ürün kullandığını, ishal veya kusma olmadığını belirtir. Göğüs ağrısı, senkop ve yeni nörolojik""}, {""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.patientIntro.profile"", ""text"": ""68 yaşında erkek hasta, kronik böbrek hastalığı ve hipertansiyon öyküsüyle acil serviste değerlendiriliyor.""}]"
v403-internal-medicine-paroksismal-nokturnal-dispne,Paroksismal nokturnal dispne,"[""PND"", ""gece nefes darlığı atağı""]",İç Hastalıkları,Kardiyoloji / Semptom,P1,0,Uykudan ani nefes darlığıyla uyandıran sol kalp yetmezliği semptomudur.,Gece yatarken interstisyel sıvının dolaşıma dönmesi ve pulmoner venöz basıncın artması sol kalp yetmezliğinde ani dispne atağına yol açabilir. TUS tarzı sorularda ortopneyle birlikte konjestif kalp yetmezliğini güçlendiren klasik öyküdür.,Gece uykudan nefes darlığıyla uyanma kalp yetmezliği konjesyonu için güçlü ipucudur.,Panik atakta çarpıntı ve korku baskın olabilir; PND’de kalp yetmezliği bulguları ve konjesyon eşlik eder.,"[""Ortopne"", ""Pulmoner ödem"", ""BNP""]","[{""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.investigations[3].result.values[1][3]"", ""text"": ""Belirgin pulmoner ödem yok""}, {""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.investigations[3].result.rows[1][3]"", ""text"": ""Belirgin pulmoner ödem yok""}]"
v403-internal-medicine-juguler-venoz-dolgunluk,Juguler venöz dolgunluk,"[""JVD"", ""boyun ven dolgunluğu""]",İç Hastalıkları,Kardiyoloji / Fizik muayene,P1,66,Boyun venlerinde sağ atriyal basınç artışını yansıtan dolgunluk bulgusudur.,"JVD sağ kalp basınç yükü, volüm fazlalığı, tamponad veya pulmoner hipertansiyon gibi durumlarda görülebilir. İç hastalıkları sorusunda ödem, hepatomegali ve akciğer bulgularıyla birlikte sağ/sol kalp yükünü ayırmada değerlidir.",JVD + ödem sağ kalp/volüm yükünü; JVD + hipotansiyon + muffled heart tamponadı düşündürür.,Dehidratasyonda juguler venler kollabe olur; JVD volüm veya sağ kalp basıncı artışına gider.,"[""Sağ kalp yetmezliği"", ""Kardiyak tamponad"", ""Pulmoner hipertansiyon""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.learningTarget"", ""text"": ""Sağ ventrikül infarktında hipotansiyon, juguler venöz dolgunluk ve temiz akciğer paterninin tedavi güvenliğini nasıl değiştirdiğini açıklama.""}, {""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.exam[1]"", ""text"": ""Juguler venöz dolgunluk belirgindir; kalp sesleri bradikardik ve düzenlidir.""}]"
v403-internal-medicine-hepatojuguler-reflu,Hepatojuguler reflü,"[""Hepatojuguler reflü""]",İç Hastalıkları,Kardiyoloji / Fizik muayene,P1,0,Karaciğere bası ile juguler venöz basıncın kalıcı artmasıdır.,Sağ ventrikül artan venöz dönüşü karşılayamadığında karaciğer basısı juguler dolgunluğu artırır. Konjestif kalp yetmezliği ve sağ kalp yüklenmesini destekleyen yatak başı bulgusudur.,Hepatojuguler reflü sağ kalbin rezervinin azaldığını gösteren konjesyon bulgusudur.,Sadece geçici venöz kabarma normal olabilir; kalıcı yükselme patolojiktir.,"[""Juguler venöz dolgunluk"", ""Sağ kalp yetmezliği"", ""Konjesyon""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.learningTarget"", ""text"": ""Sağ ventrikül infarktında hipotansiyon, juguler venöz dolgunluk ve temiz akciğer paterninin tedavi güvenliğini nasıl değiştirdiğini açıklama.""}, {""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.exam[1]"", ""text"": ""Juguler venöz dolgunluk belirgindir; kalp sesleri bradikardik ve düzenlidir.""}]"
v403-internal-medicine-kararsiz-angina,Kararsız angina,"[""Kararsız angina""]",İç Hastalıkları,Kardiyoloji / Akut koroner sendrom,P1,0,İstirahatte veya yeni/kötüleşen iskemi yakınması olup troponin nekrozu göstermeyen AKS tablosudur.,Plak rüptürüyle koroner akım azalır ancak miyokard nekrozu oluşmadığı için troponin negatif kalır. Klinik olarak NSTEMI ile benzer yönetilir fakat biyobelirteç ayrımı prognoz ve sınıflama açısından önemlidir.,AKS semptomu + troponin negatifliği kararsız angina lehinedir.,NSTEMI’de troponin pozitiftir; STEMI’de persistan ST elevasyonu reperfüzyon kararını hızlandırır.,"[""NSTEMI"", ""Troponin"", ""Akut koroner sendrom""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.investigations[2].id"", ""text"": ""v165-new-029-gogus-agrisi-ve-hipotansiyon-troponin""}, {""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.investigations[2].result.values[0][0]"", ""text"": ""Troponin I""}]"
v403-internal-medicine-troponin-dinamigi,Troponin dinamiği,"[""seri troponin"", ""troponin trendi""]",İç Hastalıkları,Kardiyoloji / Laboratuvar,P1,0,Seri ölçümlerde troponinin yükselme veya düşme paterniyle akut miyokard hasarını göstermesidir.,"Tek bir troponin değeri kronik yükseklikle karışabilir; akut MI tanısında klinik iskemi bulgusu ile birlikte anlamlı seri değişim aranır. Böbrek yetmezliğinde bazal yüksek değer olabilir, bu yüzden delta değişim önem kazanır.",Troponin yorumu tek sayı değil; klinik + EKG + seri değişimle yapılır.,Kronik böbrek hastalığında troponin yüksek olabilir; akut MI için dinamik değişim ve iskemi kanıtı gerekir.,"[""NSTEMI"", ""Miyokard infarktüsü"", ""Kronik böbrek hastalığı""]","[{""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.clinicalFocus"", ""text"": ""Kronik böbrek hastalığı zemininde gelişen ağır hiperkalemide EKG bulgularını tanıyarak acil tedavi sırasını doğru kurma.""}, {""sourceFilePath"": ""src/data/cases.js::v163-new-002-acil-elektrolit-bozuklugu.stem"", ""text"": ""Yakınmaları son iki günde iştahsızlık ve giderek belirginleşen kas güçsüzlüğü ile başlamış; bugün merdiven çıkarken çabuk yorulma ve düzensiz kalp atımı hissi eklenmiştir. Evre 4 kronik böbrek hastalığı ve hipertansiyon nedeniyle ramipril kullandığı, son hafta idrar miktarının azaldığı öğrenilir. Tuz yerine potasyum içeren ürün kullandığını, ishal veya kusma olmadığını belirtir. Göğüs ağrısı, senkop ve yeni nörolojik""}]"
v403-internal-medicine-grace-skoru,GRACE skoru,"[""GRACE skoru""]",İç Hastalıkları,Kardiyoloji / Risk skoru,P1,0,Akut koroner sendromda ölüm ve iskemik olay riskini tahmin eden klinik risk skorudur.,"Yaş, vital bulgular, kreatinin, EKG değişikliği, troponin ve kalp yetmezliği bulguları gibi değişkenleri birleştirir. NSTEMI/kararsız anginada invaziv strateji zamanlamasını belirlemede TUS düzeyinde karar jargonu olarak önemlidir.",NSTEMI’de invaziv yaklaşım aciliyeti risk skorları ve klinik instabiliteyle belirlenir.,CHA2DS2-VASc atriyal fibrilasyonda inme riskini; GRACE AKS prognozunu değerlendirir.,"[""NSTEMI"", ""Akut koroner sendrom"", ""Troponin dinamiği""]","[{""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.diagnosis.answerFeedback.optionComparison.Aspirin"", ""text"": ""Aspirin akut koroner sendromda erken antitrombosit tedavinin temel parçasıdır. Alerji veya aktif ciddi kanama yoksa bu vakadaki özgül kaçınılacak ilaç değildir.""}, {""sourceFilePath"": ""src/data/cases.js::v165-new-029-gogus-agrisi-ve-hipotansiyon.diagnosis.answerFeedback.optionComparison.Klopidogrel"", ""text"": ""Klopidogrel/P2Y12 inhibitörü akut koroner sendromda antitrombosit stratejinin parçası olabilir. Hemodinamik olarak preloadu azaltmadığı için bu olguda özellikle kaçınılacak ilaç değildir.""}]"
v403-internal-medicine-has-bled-skoru,HAS-BLED skoru,"[""HAS-BLED skoru""]",İç Hastalıkları,Kardiyoloji / Antikoagülasyon,P1,0,Antikoagülasyon alan hastada majör kanama riskini öngörmeye yardım eden skordur.,Atriyal fibrilasyonda antikoagülasyon kararı sadece inme riskine göre değil kanama riskinin düzenlenebilir bileşenlerine göre de planlanır. HAS-BLED yüksekliği otomatik olarak antikoagülasyon verilmeyecek anlamına gelmez; dikkat ve risk azaltma gerektirir.,HAS-BLED kanama riskini gösterir; antikoagülasyonu tek başına yasaklamaz.,"CHA2DS2-VASc inme riskini, HAS-BLED kanama riskini değerlendirir.","[""Atriyal fibrilasyon"", ""Antikoagülasyon kararı"", ""CHA2DS2-VASc skoru""]","[{""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-378-spot.topic"", ""text"": ""Atriyal fibrilasyonda inme riski""}, {""sourceFilePath"": ""src/data/tusPearlCards.js::tus-pearl-internal-medicine-378-spot.keywords[0]"", ""text"": ""atriyal fibrilasyon""}]"
