term,category,subcategory,priority,shortDefinition,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceExamples
Uterin inversiyon,Kadın Hastalıkları ve Doğum,Doğum sonu aciller,P0,Fundusun içe dönerek serviks/vajinaya doğru prolabe olmasıdır.,Postpartum kanama + fundus palpe edilemiyor/prolapsus = uterin inversiyon düşün.,Uterin atonide uterus gevşek ama inversiyon yoktur; inversiyonda anatomik yer değiştirme vardır.,Postpartum kanama | Uterin atoni | Plasenta,0,
Metotreksat tedavisi,Kadın Hastalıkları ve Doğum,Ektopik gebelik tedavisi,P0,Uygun stabil ektopik gebelikte trofoblast proliferasyonunu durdurmak için kullanılan medikal tedavidir.,"Ektopikte önce hemodinamiye bak: stabil seçilmiş olgu metotreksat, instabil/rüptüre olgu cerrahidir.",İntrauterin gebelikte kontrendikedir; rüptür şüphesinde zaman kaybettirebilir.,Ektopik gebelik | Seri beta-hCG | Rüptüre ektopik gebelik,99,"Tek doz metotreksatla ayaktan tedavi planlanması || Ektopik gebelikte yönetimi tanı etiketinden çok stabilite belirler: instabilite, peritoneal bulgu veya belirgin serbest sıvı varsa seri beta-hCG/metotreksat değil resüsitasyon ve cerrahi önceliklidir."
Endometrial hiperplazi,Kadın Hastalıkları ve Doğum,Endometrium patolojisi,P0,Karşılanmamış östrojen etkisiyle endometrial bez/stroma oranının artmasıdır.,Anovulasyon/obezite + AUK = endometrial hiperplazi ve kanser riskini düşün.,Leiomyom yapısal kanama nedeni olabilir; hiperplazi hormonal proliferasyon patolojisidir.,Anovulasyon | Endometrial biyopsi | Endometrium kanseri,52,"Bu vakada karar noktası kanamayı geçici olarak durdurmak değil, endometriyal hiperplazi veya karsinomu dışlayacak doku tanısını almaktır. TVUSG bulgusu ve risk faktörleri izlem eşiğini aşmıştır. || Obezite ve hipertansiyon endometriyal hiperplazi/karsinom riskini artırır."
Gebeliği bilinmeyen lokalizasyon,Kadın Hastalıkları ve Doğum,Erken gebelik / ektopik gebelik,P0,Gebelik testi pozitifken gebeliğin rahim içinde mi dışında mı olduğunun henüz gösterilemediği durumdur.,Pozitif β-hCG + intrauterin kese yokluğu = lokalizasyon belirsizliği; instabilite varsa ektopik rüptür gibi yönet.,Stabil hastada seri β-hCG/USG yapılabilir; instabil hastada aynı ifade rüptüre ektopik olasılığını geciktirmemelidir.,Ektopik gebelik | Seri beta-hCG | Transvajinal ultrasonografi,75,"Seri beta-hCG ve kontrol ultrasonografi, hemodinamik olarak stabil ve peritoneal bulgusu olmayan gebeliği bilinmeyen lokalizasyon olgularında kullanılabilir. Bu hastada hipotansiyon, belirgin taşikardi, defans ve serbest sıvı bulunduğu için bekleme yaklaşımı olası intraperitoneal kanamayı geciktirir. || Küretaj, stabil gebeliği bilinmeyen lokalizasyon olgularında seçilmiş tanısal durumlarda gündeme gelebilir; akut batın ve hipovolemi bulgusu olan hastada ilk basamak değildir. Ayrıca kanama odağı intrauterin değilse zaman kaybettirir."
Septik abortus,Kadın Hastalıkları ve Doğum,Erken gebelik enfeksiyonu,P0,Abortus sürecine uterin enfeksiyon ve sistemik enfeksiyon bulgularının eşlik ettiği acil tablodur.,Düşük + ateş/kötü kokulu akıntı/uterin hassasiyet = septik abortus; antibiyotik + boşaltım gerekir.,PID pelvik ağrı yapabilir ama pozitif gebelik ve abortus materyali bağlamında enfekte gebelik ürünü önceliklidir.,Dilatasyon-küretaj | Puerperal sepsis | Geniş spektrumlu antibiyotik,0,
İntrauterin gelişme kısıtlılığı,Kadın Hastalıkları ve Doğum,Fetal büyüme,P0,Fetüsün beklenen genetik büyüme potansiyeline ulaşamamasıdır.,Küçük fetus + preeklampsi/oligohidramnios/anormal Doppler = patolojik IUGR.,SGA konstitüsyonel olabilir; IUGR’de plasental/fetal patoloji ve fetal risk vardır.,Uteroplasental yetmezlik | Oligohidramnios | Umbilikal arter Doppler,0,
Umbilikal arter Doppler,Kadın Hastalıkları ve Doğum,Fetal büyüme izlemi,P0,Umbilikal arter akım direncini değerlendirerek plasental direnç ve fetal risk hakkında bilgi veren Doppler incelemesidir.,IUGR + absent/reversed end-diastolic flow = yüksek riskli plasental yetmezlik.,Normal Doppler konstitüsyonel küçük fetus lehine olabilir; anormal Doppler patolojik IUGR lehinedir.,İntrauterin gelişme kısıtlılığı | Uteroplasental yetmezlik | Oligohidramnios,0,
Rh izoimmünizasyonu,Kadın Hastalıkları ve Doğum,Fetal-maternal immünoloji,P0,Rh-negatif annenin Rh-pozitif fetal eritrositlere karşı anti-D antikoru geliştirmesidir.,Rh-negatif anne + duyarlanma yoksa anti-D profilaksisi; duyarlanma varsa fetal anemi izlemi.,ABO uygunsuzluğu genellikle daha hafiftir; Rh izoimmünizasyonu hidropsa ilerleyebilir.,Anti-D immünoglobulin | Hidrops fetalis | İndirekt Coombs testi,28,"Postpartum Rh uygunsuzluğu riskini anne antikor durumu ve yenidoğan kan grubuyla birlikte değerlendirerek uygun immünoprofilaksiyi seçme. || Doğru yaklaşımdır. Anne Rh negatif ve indirekt Coombs negatif, bebek Rh pozitiftir; bu nedenle anti-D immünglobulin anneye postpartum ilk 72 saat içinde verilerek sonraki gebeliklerde Rh alloimmünizasyonu önlenir."
Gestasyonel trofoblastik neoplazi,Kadın Hastalıkları ve Doğum,Gestasyonel trofoblastik hastalık,P0,Molar gebelik veya gebelik sonrası trofoblastik dokunun persistan/progresif malign proliferasyonudur.,Mol sonrası β-hCG düşmüyor/yükseliyor = gestasyonel trofoblastik neoplazi açısından alarm.,"Normal gebelik sonrası β-hCG düşer; persistan yükselme yeni gebelik, rezidüel trofoblast veya neoplazi ayrımı gerektirir.",Hidatidiform mol | Koryokarsinom | Metotreksat,31,"Gestasyonel trofoblastik hastalıkların tanı ve tedavi sonrası takibinde beta-hCG düzeyleri kullanılır. CA-125 over epitel tümörleriyle, AFP germ hücreli tümörler ve hepatoselüler karsinomla, CEA gastrointestinal malignitelerle daha çok ilişkilidir. Gestasyonel trofoblastik hastalıklar trofoblastik dokudan kaynaklandığı için izlemde seri beta-hCG ölçümü temel belirteçtir. Beta-hCG trofoblastik doku aktivitesini yansıttığı için gestasyonel trofoblastik hastalık izleminin temel belirtecidir. TUS açısından ayırıcı nokt || Mol gebelik ve gestasyonel trofoblastik neoplazi takibinde seri beta-hCG düşüş paterni kritik sınav bilgisidir."
Hidatidiform mol,Kadın Hastalıkları ve Doğum,Gestasyonel trofoblastik hastalık,P0,Anormal fertilizasyon sonrası trofoblast proliferasyonu ve hidropik villuslarla seyreden molar gebeliktir.,Çok yüksek β-hCG + üzüm tanesi/kar fırtınası USG + erken preeklampsi = mol gebelik düşün.,Komplet molde fetal doku yoktur ve malignite riski daha yüksektir; parsiyel molde fetal doku olabilir.,Komplet mol | Parsiyel mol | β-hCG,81,Komplet hidatidiform mol || Komplet hidatidiform mol
Virilizasyon,Kadın Hastalıkları ve Doğum,Hiperandrojenizm,P0,"Kadında derin ses, klitoromegali, belirgin kaslanma gibi ağır androjen fazlalığı bulgularıdır.",Hızlı virilizasyon = androjen salgılayan tümör dışlanmalı.,Basit hirsutizm PKOS ile sık; virilizasyon daha ciddi androjen fazlalığıdır.,Hirsutizm | Sertoli-Leydig hücreli tümör | Hiperandrojenizm,9,"46,XX karyotip, adrenal androjen fazlalığına bağlı dış genital virilizasyon || 45,X streak gonad Turner sendromunu, 46,XY testis ve androjen reseptör direnci komplet androjen duyarsızlığını, anosmi ile hipogonadotropik hipogonadizm Kallmann sendromunu, virilizasyon ise konjenital adrenal hiperplaziyi düşündürür. Müllerian agenezi/MRKH sendromunda karyotip 46,XX’tir, overler işlevseldir ve sekonder seks karakterleri genellikle normal gelişir; uterus ve üst vajina konjenital olarak yoktur veya hipoplaziktir. Seçilmelidir; müllerian agenezide genetik ve gonadal yapı kadın tipindedir, over fonksi"
Adneksiyal torsiyon,Kadın Hastalıkları ve Doğum,Jinekolojik acil,P0,Over ve/veya tuba pedikülünün dönerek vasküler akımı bozmasıdır.,Ani tek taraflı pelvik ağrı + over kisti/kitle = torsiyon; Doppler normal olsa da dışlama.,PID ateş/akıntı ve bilateral hassasiyet yapabilir; torsiyon ani ve kolik/ağır ağrılıdır.,Adneksiyal kitle | Ovaryan torsiyon | Detorsiyon,46,"Akut tek taraflı pelvik ağrıda adneksiyal torsiyon şüphesini gebelik testi, enfeksiyon bulguları ve Doppler USG ile ayırıp zaman kaybettirmeyen yönetimi seçme. || Over torsiyonunda normal veya kısmen korunmuş arteriyel akımın tanıyı dışlamadığını ve over fonksiyonunu korumak için acil laparoskopik değerlendirme gerektiğini kavrama."
Pelvik inflamatuvar hastalık,Kadın Hastalıkları ve Doğum,Jinekolojik enfeksiyon,P0,Üst genital traktın çoğunlukla cinsel yolla ilişkili polimikrobiyal enfeksiyonudur.,Pelvik ağrı + servikal hareket hassasiyeti = PID tedavisini geciktirme.,Ektopik gebelik pozitif β-hCG ile ayrılır; torsiyon ani ağrı ve kitleyle öne çıkar.,Servisit | Tuboovaryan apse | Cervical motion tenderness,149,"Son adet tarihine göre yaklaşık 7 haftalık gebelik olasılığı olan hasta, iki gündür hafif koyu lekelenmesi varken bugün sağ alt kadran ağrısının aniden arttığını ve ayağa kalkınca bayılacak gibi olduğunu anlatmaktadır. Daha önce pelvik inflamatuvar hastalık nedeniyle tedavi görmüş, bilinen intrauterin gebelik görüntülemesi henüz yapılmamıştır. Ateş, kötü kokulu akıntı veya idrar yakınması tariflememektedir. || Son adet tarihine göre yaklaşık 7 haftalık gebelik olasılığı olduğunu söyleyen hasta iki gündür hafif koyu lekelenme fark etmiştir. Bugün sağ alt kadran ağrısı kısa sürede şiddetlenmiş, ayağa kalkınca göz kararması ve bayılacak gibi olma hissi gelişmiştir. Daha önce pelvik inflamatuvar hastalık nedeniyle tedavi görmüş olması tubal patoloji riskini artırmaktadır. Bilinen intrauterin gebelik görüntülemesi henüz yoktur; ateş, kötü kokulu akıntı ve belirgin dizüri tariflememektedir."
