id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExpandedExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v396-anatomy-cerrahi-boyun,Cerrahi boyun,"[""Cerrahi boyun"", ""humerus cerrahi boynu"", ""surgical neck of humerus"", ""humerusun cerrahi boynu""]",Anatomi / üst ekstremite,Humerus anatomisi,P0,Humerusun baş-boyun bölgesinde tuberküllerin distalindeki kırık açısından önemli anatomik daralma bölgesidir.,Cerrahi boyun kırığında aksiller sinir ve posterior humeral sirkumfleks arter komşuluk nedeniyle risk altındadır; deltoid zayıflığı ve lateral omuz duyusu değerlendirilir.,Proksimal humerus cerrahi boyun kırığı + abdüksiyon zayıflığı + lateral omuz duyu kaybı aksiller sinir lezyonunu düşündürür.,Anatomik boyun eklem kapsülüyle daha ilişkilidir; cerrahi boyun ise aksiller sinir komşuluğu nedeniyle kliniktir.,"[""Aksiller sinir"", ""Deltoid kas"", ""Lateral omuz rozet alanı"", ""Posterior humeral sirkumfleks arter""]",111,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] learningTarget: Cerrahi boyun komşuluğundaki sinir-damar ilişkisini omuz abdüksiyonu ve lateral omuz duyusu üzerinden yorumlayabilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] investigations[0].summary: Sağ omuz AP grafisinde proksimal humerusta cerrahi boyun düzeyini içeren kırık hattı izlenir. Bulgular travmanın omuz çevresi nörovasküler komşuluklar açısından değerlendirilmesini gerektirir.""}]"
v396-anatomy-lateral-omuz-rozet-alani,Lateral omuz rozet alanı,"[""Lateral omuz rozet alanı"", ""regimental badge area"", ""deltoid rozet alanı"", ""omuz rozet alanı""]",Anatomi / nöroanatomi,Duyu alanı,P0,Deltoid üzerindeki lateral omuz deri alanıdır ve aksiller sinirin üst lateral kutanöz dalıyla ilişkilidir.,"Bu alanda duyu azalması, omuz abdüksiyon güçsüzlüğüyle birlikteyse aksiller sinir lezyonunu lokalize eder.",Lateral omuz rozet alanı duyu kaybı aksiller sinir için lokalize edici ipucudur.,Radial sinir duyu kaybı daha çok posterior kol/önkol ve el dorsoradyal yüzüyle ilişkilidir.,"[""Aksiller sinir"", ""Deltoid kas"", ""Cerrahi boyun""]",77,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] exam[2]: Lateral omuz rozet alanında karşı tarafa göre hafif dokunma duyusu azalmıştır.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] question: Bu hastada travma sonrası abdüksiyon zayıflığı ve lateral omuz rozet alanında duyu azalmasını en iyi açıklayan sinir hasarı hangisidir?""}]"
v396-anatomy-dortgen-aralik,Dörtgen aralık,"[""Dörtgen aralık"", ""quadrangular space"", ""quadrilateral space"", ""kuadrangular aralık""]",Anatomi / üst ekstremite,Omuz nörovasküler geçiş alanı,P1,"Teres minor, teres major, triceps uzun başı ve humerus cerrahi boynu arasında kalan omuz geçiş alanıdır.",Aksiller sinir ve posterior humeral sirkumfleks arter bu aralıktan geçer; omuz travması veya kitlelerde deltoid-teres minor fonksiyonu etkilenebilir.,Dörtgen aralık aksiller sinir + posterior humeral sirkumfleks arter birlikteliğiyle sorulur.,Üçgen aralıktan daha çok sirkumfleks skapular arter geçer; dörtgen aralık aksiller sinirle ayırt edilir.,"[""Aksiller sinir"", ""Posterior humeral sirkumfleks arter"", ""Teres minor"", ""Teres major""]",24,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] diagnosis.explanation: Nervus axillaris, quadrangular space içinden posterior circumflex humeral damarlarla birlikte geçer ve humerus cerrahi boynuna yakındır. Deltoid kasın 15 dereceden sonraki abdüksiyondaki ana rolü ve lateral omuz rozet alanının duyusu bu sinirin motor-duyusal dağılımıyla uyumludur. El bileği ve parmak ekstansiyonunun korunması radiali…""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] diagnosis.answerFeedback.whyCorrect: Nervus axillaris, quadrangular space içinden posterior circumflex humeral damarlarla birlikte geçer ve humerus cerrahi boynuna yakındır. Deltoid kasın 15 dereceden sonraki abdüksiyondaki ana rolü ve lateral omuz rozet alanının duyusu bu sinirin motor-duyusal dağılımıyla uyumludur. El bileği ve parmak ekstansiyonunun kor…""}]"
v396-anatomy-posterior-humeral-sirkumfleks-arter,Posterior humeral sirkumfleks arter,"[""Posterior humeral sirkumfleks arter"", ""posterior circumflex humeral artery"", ""arteria circumflexa humeri posterior""]",Anatomi / damar,Omuz arter anatomisi,P1,Aksiller arterden çıkan ve aksiller sinirle birlikte dörtgen aralıktan geçen omuz çevresi arteridir.,Cerrahi boyun kırıkları ve omuz cerrahilerinde aksiller sinirle birlikte risk altındadır; deltoid bölge perfüzyonuyla ilişkilidir.,Aksiller sinir sorularında eşlik eden damar genellikle posterior humeral sirkumfleks arterdir.,Anterior humeral sirkumfleks arter daha küçük dal olarak biseps oluğu çevresinde seyreder.,"[""Dörtgen aralık"", ""Aksiller sinir"", ""Cerrahi boyun""]",2,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-176-extra] back: Arteria circumflexa humeri posterior.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-176-extra] answer: Arteria circumflexa humeri posterior.""}]"
v396-anatomy-spiral-oluk,Spiral oluk,"[""Spiral oluk"", ""radial sulcus"", ""humerusun spiral oluğu"", ""sulcus nervi radialis""]",Anatomi / üst ekstremite,Radial sinir komşuluğu,P1,Humerus şaftının posterior yüzünde radial sinirin seyrettiği oluk bölgesidir.,Humerus şaft kırığında radial sinir spiral olukta yaralanabilir; el bileği ekstansiyon kaybı ve posterior el duyusu değerlendirilir.,Humerus şaft kırığı sorusunda spiral oluk radial sinir lokalizasyonunu verir.,"Cerrahi boyun aksiller sinirle, medial epikondil ulnar sinirle ilişkilidir.","[""Radial sinir"", ""Düşük el"", ""Humerus şaft kırığı""]",46,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] diagnosis.answerFeedback.evidenceChain[3].text: El bileği-parmak ekstansiyonunun korunması → spiral oluk düzeyindeki radialis etkilenimini desteklemez.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] diagnosis.evidenceChain[3].text: El bileği-parmak ekstansiyonunun korunması → spiral oluk düzeyindeki radialis etkilenimini desteklemez.""}]"
v396-anatomy-posterior-interosseoz-sinir,Posterior interosseöz sinir,"[""Posterior interosseöz sinir"", ""posterior interosseous nerve"", ""PIN"", ""radial sinirin derin dalı""]",Anatomi / periferik sinir,Radial sinir dalı,P1,Radial sinirin derin motor dalıdır; önkol ekstansör kompartman kaslarını innerve eder.,Posterior interosseöz sinir lezyonunda parmak ekstansiyonu bozulabilir ancak saf motor dal olduğu için belirgin duyu kaybı beklenmez.,Parmak ekstansiyon kaybı + duyu kaybı yoksa posterior interosseöz sinir düzeyi düşünülür.,Radial sinir ana gövde lezyonunda triseps/bilek ekstansiyonu ve duyu alanları daha geniş etkilenebilir.,"[""Radial sinir"", ""Düşük el"", ""Önkol ekstansör kompartmanı""]",213,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] diagnosis.answerFeedback.clinicalPearls[0].text: Başlangıç abdüksiyonunda supraspinatus, 15 dereceden sonraki güçlü abdüksiyonda deltoid baskındır; bu ayrım suprascapular ve axillary sinir lezyonlarını ayırmada kullanılır.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v163-new-009-omuz-travmasi-sonrasi-guc-kaybi] diagnosis.answerFeedback.optionComparison.Nervus suprascapularis: Nervus suprascapularis supraspinatus ve infraspinatus kaslarıyla abdüksiyonun başlangıcı ve dış rotasyonda önemlidir. Lateral omuz rozet alanı duyusunu taşımaz; bu nedenle motor-duyusal birlikteliği tek başına açıklamaz.""}]"
v396-anatomy-dusuk-ayak,Düşük ayak,"[""Düşük ayak"", ""foot drop"", ""ayak düşüklüğü""]",Anatomi / klinik bulgu,Fibular sinir bulgusu,P0,Ayak dorsifleksiyonunun zayıflaması nedeniyle ayağın yere takılma eğiliminde olmasıdır.,Düşük ayak en sık common fibular sinirin fibula boynu çevresindeki lezyonlarında görülür; yürüyüşte steppage paterni gelişebilir.,Fibula boynu travması + düşük ayak = common fibular sinir lezyonu.,Tibial sinir lezyonu plantar fleksiyon ve taban duyusu kaybıyla ayrılır.,"[""Common fibular sinir"", ""Derin fibular sinir"", ""Steppage yürüyüş"", ""Fibula boynu""]",37,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] title: Diz dış yan travması sonrası düşük ayak""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] clinicalFocus: Diz dış yan travması sonrası düşük ayak paternini fibula boynu komşuluğu, bacak kompartmanları ve periferik sinir dallarıyla ilişkilendirme.""}]"
v396-anatomy-steppage-yuruyus,Steppage yürüyüş,"[""Steppage yürüyüş"", ""steppage gait"", ""yüksek adımlama yürüyüşü""]",Anatomi / yürüyüş bulgusu,Dorsifleksiyon kaybı,P1,Düşük ayağı telafi etmek için kalça ve dizin aşırı fleksiyona getirildiği yürüyüş paternidir.,Dorsifleksiyon kaybı nedeniyle ayak ucu yere takılır; hasta ayağı kaldırmak için abartılı adım atar. Common fibular sinir ve derin fibular dal değerlendirilmelidir.,Düşük ayak sorusunda steppage yürüyüş ortak ipucudur.,Trendelenburg yürüyüşü kalça abdüktör zayıflığına bağlı pelvis düşmesiyle ayrılır.,"[""Düşük ayak"", ""Common fibular sinir"", ""Derin fibular sinir""]",8,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] patientIntro.presentation: Dış yan diz travması sonrası düşük ayak, steppage yürüyüş ve ayak sırtı duyusal yakınması gelişmiştir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] diagnosis.optionComparison.Nervus fibularis superficialis: Yüzeyel fibular sinir eversiyon ve ayak sırtı duyusuyla ilişkilidir, fakat dorsifleksiyon kaybını ve steppage yürüyüşü tek başına açıklamaz. Dorsifleksiyon ve eversiyonun birlikte bozulması daha proksimal ana gövde etkilenimini gösterir.""}]"
v396-anatomy-derin-fibular-sinir,Derin fibular sinir,"[""Derin fibular sinir"", ""deep fibular nerve"", ""derin peroneal sinir"", ""nervus fibularis profundus""]",Anatomi / periferik sinir,Alt ekstremite siniri,P1,Common fibular sinirin anterior bacak kompartmanını ve birinci parmak aralığı duyusunu taşıyan dalıdır.,Derin fibular sinir lezyonunda dorsifleksiyon ve başparmak ekstansiyonu zayıflar; birinci web space duyusu ayırt edici olabilir.,Birinci parmak aralığı duyusu derin fibular sinir için klasik lokalizasyon ipucudur.,Yüzeyel fibular sinir ayak dorsumunun çoğu duyusu ve eversiyonla ilişkilidir.,"[""Common fibular sinir"", ""Düşük ayak"", ""Bacağın anterior kompartmanı""]",18,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] diagnosis.options[3]: Nervus fibularis profundus""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] diagnosis.optionComparison.Nervus fibularis profundus: Derin fibular sinir dorsifleksiyon ve birinci web aralığı duyusunu açıklar; ancak eversiyon zayıflığı ve daha geniş ayak sırtı duyusu azalması tek başına bu distal dal lezyonundan beklenmez.""}]"
v396-anatomy-yuzeyel-fibular-sinir,Yüzeyel fibular sinir,"[""Yüzeyel fibular sinir"", ""superficial fibular nerve"", ""superficial peroneal nerve"", ""yüzeyel peroneal sinir""]",Anatomi / periferik sinir,Alt ekstremite siniri,P1,Common fibular sinirin lateral bacak kompartmanı ve ayak dorsumu duyusuyla ilişkili dalıdır.,Yüzeyel fibular sinir eversiyon kaslarını innerve eder; ayak dorsumu duyusunun çoğunu taşır fakat birinci web space derin fibular sinire aittir.,Ayak dorsumu duyusu + eversiyon kaybı yüzeyel fibular dalı düşündürür.,Derin fibular sinir dorsifleksiyon ve birinci web space duyusuyla ayrılır.,"[""Common fibular sinir"", ""Bacağın lateral kompartmanı"", ""Derin fibular sinir""]",7,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] diagnosis.optionComparison.Nervus fibularis superficialis: Yüzeyel fibular sinir eversiyon ve ayak sırtı duyusuyla ilişkilidir, fakat dorsifleksiyon kaybını ve steppage yürüyüşü tek başına açıklamaz. Dorsifleksiyon ve eversiyonun birlikte bozulması daha proksimal ana gövde etkilenimini gösterir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-202-diz-dis-yan-travmasi-sonrasi-dusuk-ayak] diagnosis.answerFeedback.optionComparison.Nervus fibularis superficialis: Yüzeyel fibular sinir eversiyon ve ayak sırtı duyusuyla ilişkilidir, fakat dorsifleksiyon kaybını ve steppage yürüyüşü tek başına açıklamaz. Dorsifleksiyon ve eversiyonun birlikte bozulması daha proksimal ana gövde etkilenimini gösterir.""}]"
