id,term,aliases,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v402-pharmacology-antikolinerjik-toksisite,Antikolinerjik toksisite,Antikolinerjik toksisite | antimuskarinik toksidrom | atropin toksisitesi,Toksikoloji / Otonom farmakoloji,P1,"Muskarinik blokaja bağlı kuru deri, midriyazis, taşikardi, hipertermi ve deliryum tablosudur.","Parasempatik muskarinik etkiler baskılanınca sekresyon azalır, barsak ve mesane motilitesi düşer, santral ajitasyon-deliryum gelişebilir. Sınavda kolinerjik toksidromla zıt klinik patern olarak öğretilir.",Kuru deri + midriyazis + taşikardi + deliryum antikolinerjik toksisite lehinedir.,Kolinerjik krizde salivasyon ve miyozis; antikolinerjikte kuruluk ve midriyazis ön plandadır.,Muskarinik reseptör | Atropin | Fizostigmin,0,Toksidrom bulguları || Toksidrom bulguları
v402-pharmacology-fizostigmin,Fizostigmin,Fizostigmin | fizostigmin antidotu,Toksikoloji / Otonom farmakoloji,P1,Santral sinir sistemine geçebilen geri dönüşümlü asetilkolinesteraz inhibitörüdür.,Seçilmiş ağır antikolinerjik deliryumda asetilkolin düzeyini artırarak santral muskarinik blokajı tersine çevirebilir. Ancak TCA gibi iletim bozukluğu yapan zehirlenmelerde dikkatli olunmalıdır.,Fizostigmin BBB geçer; bu nedenle santral antikolinerjik deliryumda teorik antidottur.,Pralidoksim organofosfat enzimi reaktive eder; fizostigmin asetilkolinesterazı geri dönüşümlü inhibe eder.,Antikolinerjik toksisite | Asetilkolinesteraz inhibisyonu | TCA toksisitesi,11,Fizostigmin uygulanması || Fizostigmin asetilkolinesteraz inhibitörüdür ve antikolinerjik toksisitede seçilmiş durumlarda düşünülebilir. Bu vakada zaten kolinesteraz aktivitesi baskılanmış ve asetilkolin fazlalığı bulguları vardır; ek kolinesteraz inhibisyonu toksisiteyi derinleştirir.
v402-pharmacology-parasetamol-toksisitesi,Parasetamol toksisitesi,Parasetamol toksisitesi | asetaminofen toksisitesi | parasetamol aşırı dozu,Toksikoloji / Analjezikler,P0,Aşırı dozda NAPQI birikimiyle hepatoselüler nekroza yol açabilen ilaç toksisitesidir.,Normal dozda parasetamol glukuronidasyon ve sülfatlama ile metabolize edilir; aşırı dozda CYP aracılı NAPQI üretimi artar ve glutatyon tükenirse hepatosit hasarı gelişir. Erken semptom az olsa bile geç hepatotoksisite riski belirleyicidir.,Parasetamol toksisitesi = NAPQI + glutatyon tüketimi + N-asetilsistein.,NSAİİ toksisitesi gastrointestinal/renal etkilerle; parasetamol toksisitesi hepatik metabolit birikimiyle ayırt edilir.,NAPQI | N-asetilsistein | Glutatyon,19,Parasetamol toksisitesi ve N-asetilsistein || Parasetamol toksisitesi ve N-asetilsistein
v402-pharmacology-kalsiyum-kanal-bloker-toksisitesi,Kalsiyum kanal bloker toksisitesi,Kalsiyum kanal bloker toksisitesi | KKB toksisitesi | kalsiyum kanal bloker zehirlenmesi,Toksikoloji / Kardiyovasküler ilaçlar,P0,"L tipi kalsiyum kanal blokajına bağlı bradikardi, hipotansiyon ve miyokard depresyonu tablosudur.","Non-dihidropiridinler AV nod ve miyokard üzerinde daha belirgin depresyon yaparken, pankreatik insülin salınımının baskılanması hiperglisemiye katkı sağlayabilir. Tedavide kalsiyum, vazopressör ve yüksek doz insülin-euglisemi desteği düşünülür.",Bradikardi + hipotansiyon + hiperglisemi KKB toksisitesini beta blokerden ayırmaya yardım eder.,Beta bloker toksisitesinde glukagon; KKB toksisitesinde yüksek doz insülin-euglisemi daha klasik vurgudur.,L tipi kalsiyum kanalı | Yüksek doz insülin-euglisemi tedavisi | Non-dihidropiridin KKB,4,"Kalsiyum kanal bloker zehirlenmesi || Kalsiyum kanal bloker toksisitesi pankreasta insülin salınımını azaltabilir, miyokardda kontraktiliteyi düşürür ve vazodilatasyonla şok yapabilir. Yüksek doz insülin, glukoz desteğiyle birlikte miyokardın enerji kullanımını destekler ve pozitif inotropik etki sağlayabilir."
v402-pharmacology-sodyum-bikarbonat-tedavisi,Sodyum bikarbonat tedavisi,Sodyum bikarbonat tedavisi | NaHCO3 tedavisi | bikarbonat tedavisi,Toksikoloji / Antidot yaklaşımı,P0,Sodyum kanal bloker toksisitesinde serum alkalinizasyonu ve sodyum yüküyle QRS daraltmayı hedefleyen tedavidir.,TCA gibi ilaçlarda hızlı sodyum kanalı blokajı geniş QRS ve aritmi riski yaratır. Sodyum bikarbonat hem sodyum gradyanını artırır hem de alkalinizasyonla ilacın kanala bağlanmasını azaltabilir.,Geniş QRS + TCA/sodyum kanal blokeri = sodyum bikarbonat.,Magnezyum torsades de pointes için; sodyum bikarbonat QRS genişlemesi için daha uygundur.,TCA toksisitesi | QRS genişlemesi | Sodyum kanal blokajı,0,Sodyum || Sodyum
v402-pharmacology-siproheptadin,Siproheptadin,Siproheptadin | cyproheptadine,Toksikoloji / Antidot,P1,Serotonin sendromunda kullanılan 5-HT2 reseptör antagonisti ilaçtır.,"Destek tedavisi, serotonerjik ilaçların kesilmesi ve sedasyon temeldir; ağır olgularda siproheptadin serotonin reseptör antagonizmasıyla semptom kontrolüne yardımcı olur.",Serotonin sendromunda spesifik farmakolojik seçenek siproheptadindir.,Dantrolen malign hipertermi/nöroleptik malign sendrom bağlamında; siproheptadin serotonin sendromunda düşünülür.,Serotonin sendromu | 5-HT2 reseptörü | SSRI,15,"Serotonin toksisitesinde sorumlu ilaçların kesilmesi, destek tedavisi, benzodiazepinle ajitasyon kontrolü ve orta-ağır olguda siproheptadin yaklaşımını NMS/malign hipertermiden ayırabilme. || İlaç kesilmesi, destek tedavi ve gerekirse siproheptadin klinik kararla başlatılır."
v402-pharmacology-suksinilkolin,Süksinilkolin,Süksinilkolin | suxamethonium,Nöromüsküler blokörler,P1,Nikotinik asetilkolin reseptöründe depolarizan nöromüsküler blok yapan ilaçtır.,"Başlangıçta fasikülasyon oluşturur, ardından sürekli depolarizasyon nedeniyle gevşek paralizi gelişir. Hiperkalemi ve malign hipertermi riski sınavlarda özellikle yan etki olarak sorgulanır.",Süksinilkolin = depolarizan blok + fasikülasyon + hiperkalemi riski.,Roküronyum nondepolarizan blokördür; süksinilkolin depolarizan mekanizmayla ayrılır.,Nikotinik reseptör | Malign hipertermi | Hiperkalemi,31,Uçucu anestezik ve süksinilkolin sonrası gelişen malign hipertermi paterninde dantrolenin iskelet kası ryanodin reseptörü-kalsiyum salınımı düzeyindeki etkisini ayırt etme. || Uçucu anestezik ve süksinilkolin sonrası gelişen bu tabloda dantrolenin temel etki mekanizması hangisidir?
v402-pharmacology-sodyum-kanal-blokaji,Sodyum kanal blokajı,Sodyum kanal blokajı | hızlı sodyum kanal blokajı,Antiaritmikler / Toksikoloji,P1,Kardiyak hızlı Na⁺ kanallarının inhibisyonu ile faz 0 depolarizasyon ve iletimin yavaşlamasıdır.,Sınıf I antiaritmikler terapötik olarak bu yolu kullanır; toksisitede QRS genişlemesi ve ventriküler aritmi riski doğar. TCA toksisitesi bu mekanizmanın klinik toksikoloji karşılığıdır.,"QRS genişliği iletim yavaşlamasını, QT uzaması repolarizasyon gecikmesini düşündürür.",Potasyum kanal blokajı QT uzaması ve torsades riskini artırır; sodyum kanal blokajı QRS genişletir.,Sınıf I antiaritmik | QRS genişlemesi | TCA toksisitesi,12,QRS süresinin geniş olmaması → bu soruda temel hedefin sodyum kanal blokajı değil beta-reseptör downstream sinyalinin bypass edilmesi olduğunu destekler. || QRS süresinin geniş olmaması → bu soruda temel hedefin sodyum kanal blokajı değil beta-reseptör downstream sinyalinin bypass edilmesi olduğunu destekler.
v402-pharmacology-potasyum-kanal-blokaji,Potasyum kanal blokajı,Potasyum kanal blokajı | K+ kanal blokajı,Antiaritmikler,P1,Kardiyak repolarizasyonu uzatarak aksiyon potansiyeli süresini ve refrakterliği artıran etkidir.,Sınıf III antiaritmiklerin temel etkisidir; atriyal ve ventriküler dokuda refrakterliği uzatır. Ancak QT uzaması ve torsades de pointes riski en önemli sınav tuzağıdır.,Sotalol/amiodaron = sınıf III etki; QT uzaması ve torsades riski akılda tutulur.,Sodyum kanal blokajı QRS; potasyum kanal blokajı QT ile ilişkilidir.,Sınıf III antiaritmik | QT uzaması | Torsades de pointes,0,Nikotinik reseptör kanalını nondepolarizan biçimde bloke etmesi || Potasyum
v402-pharmacology-bradikinin-artisi,Bradikinin artışı,Bradikinin artışı | bradikinin birikimi,Kardiyovasküler farmakoloji,P1,ACE inhibitörlerinde bradikinin yıkımının azalmasına bağlı öksürük ve anjiyoödem mekanizmasıdır.,ACE sadece anjiyotensin II üretiminde değil bradikinin yıkımında da rol alır. Bu nedenle ACE inhibitörü kullanan hastada kuru öksürük veya anjiyoödem gelişmesi sınıf etkisi olarak düşünülür.,ACE inhibitörü öksürüğünün mekanizması bradikinin artışıdır.,ARB anjiyotensin reseptörünü bloke eder; bradikinin artışı daha az beklenir.,ACE inhibitörü | Anjiyoödem | ARB,10,ACE inhibitörleri bradikinin yıkımını azalttığı için bradikinin birikimi kuru öksürük ve anjiyoödemden sorumludur. Anjiyotensin II ve aldosteron azalır; endotelin-1 ve vazopressin bu klasik yan etkinin temel mediyatörü değildir. ACE inhibitörleri anjiyotensin I’in anjiyotensin II’ye dönüşümünü azaltırken bradikinin yıkımını da azaltır. Bradikinin yıkımı azaldığı için birikir ve kuru öksürük ile anjiyoödemden sorumludur. TUS açısından ayırıcı nokta: ACE inhibitörü yan etkilerinde ana sınav bağlan || ACE inhibitörleri bradikinin yıkımını azalttığı için bradikinin birikimi kuru öksürük ve anjiyoödemden sorumludur. Anjiyotensin II ve aldosteron azalır; endotelin-1 ve vazopressin bu klasik yan etkinin temel mediyatörü değildir. ACE inhibitörleri anjiyotensin I’in anjiyotensin II’ye dönüşümünü azaltırken bradikinin yıkımını da azaltır. Bradikinin yıkımı azaldığı için birikir ve kuru öksürük ile anjiyoödemden sorumludur. TUS açısından ayırıcı nokta: ACE inhibitörü yan etkilerinde ana sınav bağlan
