id,term,aliases,category,subcategory,priority,occurrenceCount,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,sourceTextExamples
v405-general-surgery-pnomoperitoneum,Pnömoperitoneum,"[""Pnömoperitoneum"", ""pnömoperitoneum"", ""batında serbest hava"", ""peritoneal serbest hava"", ""serbest hava""]",Genel Cerrahi,Perforasyon / akut karın,P0,175,Periton boşluğunda serbest hava bulunmasıdır; çoğu kez gastrointestinal perforasyon düşündürür.,"Pnömoperitoneum ani şiddetli karın ağrısı, tahta karın ve peritonit bulgularıyla birlikteyse perfore viskus lehinedir. Genel cerrahi kararında bu bulgu, gecikmeden resüsitasyon-antibiyotik ve acil cerrahi kaynak kontrolü gerektirebilir.",Ani epigastrik ağrı + tahta karın + serbest hava = perfore viskus/perfore peptik ülser düşün.,Postoperatif erken dönemde sınırlı serbest hava farklı yorumlanabilir; klinik peritonit varsa aciliyet artar.,"[""Perfore peptik ülser"", ""Tahta karın"", ""Acil laparotomi""]","[{""sourceFilePath"": ""src/data/cases.js::v174-new-094-sag-ust-kadran-agrisi.diagnosis.answerFeedback.optionComparison.Peptik ülser perforasyonu"", ""text"": ""Perforasyonda ani başlayan yaygın peritonit ve serbest hava bulguları beklenir. Bu vakada ağrı sağ üst kadran odaklıdır ve USG safra kesesi kaynaklı inflamasyonu destekler.""}, {""sourceFilePath"": ""src/data/cases.js::v174-new-094-sag-ust-kadran-agrisi.diagnosis.answerFeedback.whyWrong.Peptik ülser perforasyonu"", ""text"": ""Perforasyonda ani başlayan yaygın peritonit ve serbest hava bulguları beklenir. Bu vakada ağrı sağ üst kadran odaklıdır ve USG safra kesesi kaynaklı inflamasyonu destekler.""}]"
v405-general-surgery-orantisiz-agri,Orantısız ağrı,"[""Orantısız ağrı"", ""orantısız ağrı"", ""orantısız şiddetli ağrı""]",Genel Cerrahi,Cerrahi enfeksiyon / iskemi alarmı,P0,114,Muayene bulgularına göre beklenenden çok daha şiddetli ağrıdır.,Orantısız ağrı nekrotizan fasiit ve akut mezenter iskemi gibi erken dönemde muayenenin aldatıcı olabildiği ölümcül tablolarda kritik ipucudur. Ağrının şiddeti klinik karar eşiklerini yükseltir.,Muayene hafif ama ağrı çok şiddetliyse mezenter iskemi veya nekrotizan enfeksiyon düşün.,Basit selülit veya gastroenteritte ağrı genellikle muayene bulgularıyla daha uyumludur.,"[""Nekrotizan fasiit"", ""Akut mezenter iskemi"", ""Laktat yüksekliği""]","[{""sourceFilePath"": ""src/data/cases.js::v172-new-074-siddetli-karin-agrisi-ve-atriyal-fibrilasyon.diagnosis.answerFeedback.keyClues[1]"", ""text"": ""Ani başlayan, muayene bulgusuna göre orantısız şiddetli ağrı → erken akut mezenter iskemi için kritik alarm bulgusudur.""}, {""sourceFilePath"": ""src/data/cases.js::v172-new-074-siddetli-karin-agrisi-ve-atriyal-fibrilasyon.diagnosis.answerFeedback.evidenceChain[1].text"", ""text"": ""Ani başlayan, muayene bulgusuna göre orantısız şiddetli ağrı → erken akut mezenter iskemi için kritik alarm bulgusudur.""}]"
v405-general-surgery-acil-cerrahi-debridman,Acil cerrahi debridman,"[""Acil cerrahi debridman"", ""acil cerrahi debridman"", ""cerrahi debridman"", ""debridman""]",Genel Cerrahi,Cerrahi enfeksiyon / kaynak kontrol,P0,51,Nekrotik ve enfekte dokunun cerrahi olarak temizlenmesidir.,Nekrotizan fasiitte antibiyotik tek başına yeterli değildir; ölü doku kanlanmadığı için enfeksiyon kaynağı cerrahi olarak çıkarılmalıdır. Erken ve gerekirse tekrarlayan debridman mortaliteyi azaltır.,Nekrotizan fasiitte en kritik tedavi geniş spektrumlu antibiyotik + acil debridmandır.,Selülitte antibiyotik yeterli olabilir; nekrotizan enfeksiyonda kaynak kontrol için debridman gerekir.,"[""Nekrotizan fasiit"", ""Yumuşak doku enfeksiyonu"", ""Kaynak kontrolü""]","[{""sourceFilePath"": ""src/data/cases.js::v175-new-107-yumusak-doku-enfeksiyonunda-hizla-kotulesme.learningTarget"", ""text"": ""Geniş spektrumlu antibiyotik ve resüsitasyon gerekli olsa da nekrotizan fasiitte belirleyici acil basamağın cerrahi eksplorasyon ve geniş debridman olduğunu ayırt etme.""}, {""sourceFilePath"": ""src/data/cases.js::v175-new-107-yumusak-doku-enfeksiyonunda-hizla-kotulesme.diagnosis.correct"", ""text"": ""Geniş spektrumlu antibiyotik ve resüsitasyonla birlikte acil cerrahi eksplorasyon-debridman yapmak""}]"
v405-general-surgery-barsak-iskemisi,Barsak iskemisi,"[""Barsak iskemisi"", ""barsak iskemisi"", ""intestinal iskemi""]",Genel Cerrahi,Vasküler cerrahi / akut karın,P0,48,Barsak dokusunun kanlanmasının yetersiz kalmasıdır.,"Barsak iskemisi gecikirse transmural nekroz, perforasyon, sepsis ve ölümle sonuçlanabilir. Laktat yüksekliği, portal venöz gaz, pnömatozis intestinalis ve peritonit kötü prognoz işaretleridir.","Orantısız karın ağrısı + laktat artışı + vasküler risk, barsak iskemisini düşündürür.",Basit obstrüksiyon kolik ağrı ve distansiyon yapar; iskemi sürekli şiddetli ağrı ve sistemik bozulma yapar.,"[""Akut mezenter iskemi"", ""Portal venöz gaz"", ""Laktat yüksekliği""]","[{""sourceFilePath"": ""src/data/cases.js::v189-new-293-karin-sisligi-ve-gaz-cikaramama.investigations[1].summary"", ""text"": ""Hafif inflamatuvar yanıt ve hipokalemi obstrüksiyon/dehidratasyonla uyumludur; laktatın belirgin yükselmemesi ileri barsak iskemisi lehine güçlü destek sağlamaz.""}, {""sourceFilePath"": ""src/data/cases.js::v189-new-293-karin-sisligi-ve-gaz-cikaramama.investigations[1].clinicalMeaning"", ""text"": ""Hafif inflamatuvar yanıt ve hipokalemi obstrüksiyon/dehidratasyonla uyumludur; laktatın belirgin yükselmemesi ileri barsak iskemisi lehine güçlü destek sağlamaz.""}]"
v405-general-surgery-strangulasyon-bulgusu,Strangülasyon bulgusu,"[""Strangülasyon bulgusu"", ""strangülasyon bulguları"", ""strangülasyon riski""]",Genel Cerrahi,Herni ve barsak iskemisi,P0,30,"Fıtık veya obstrüksiyon içinde kanlanmanın bozulduğunu düşündüren ağrı, hassasiyet, sistemik toksisite veya iskemi işaretleridir.","Genel cerrahi kararında strangülasyon bulgusu, konservatif izlemden acil ameliyata geçiren kırmızı bayraktır. Sürekli artan ağrı, peritonit, ateş-lökositoz, laktat yüksekliği, ciltte kızarıklık/morarma veya BT’de iskemi işaretleri birlikte değerlendirilir.",Obstrüksiyon + strangülasyon bulgusu varsa nazogastrik dekompresyon tek başına yeterli değildir; cerrahi aciliyet doğar.,Basit obstrüksiyonda başlangıçta konservatif yaklaşım olabilir; strangülasyon bulgusu konservatif güvenliği bozar.,"[""Barsak iskemisi"", ""Redükte edilemeyen herni"", ""Laktat yüksekliği""]","[{""sourceFilePath"": ""src/data/cases.js::v183-new-190-kasik-sisligi-ve-kusma.clinicalFocus"", ""text"": ""Komplikasyonlu kasık fıtığında obstrüksiyon ve strangülasyon riskini acil operatif karar düzeyiyle ilişkilendirme.""}, {""sourceFilePath"": ""src/data/cases.js::v183-new-190-kasik-sisligi-ve-kusma.investigations[0].result.values[2][3]"", ""text"": ""Strangülasyon riski""}]"
v405-general-surgery-ercp-ile-biliyer-drenaj,ERCP ile biliyer drenaj,"[""ERCP ile biliyer drenaj"", ""biliyer drenaj"", ""endoskopik biliyer drenaj""]",Genel Cerrahi,Akut kolanjit / girişim,P0,24,Endoskopik retrograd kolanjiyopankreatografi ile tıkalı safra yolunun açılmasıdır.,"Akut kolanjitte antibiyotik sepsisi kontrol etmeye yardım eder; fakat obstrüksiyon sürdükçe enfeksiyon kaynağı devam eder. Bu nedenle ağır kolanjit, sepsis veya obstrüksiyon bulgusunda ERCP ile drenaj hayat kurtarıcı kaynak kontrolüdür.","Kolanjit + sepsis/obstrüksiyon varsa yalnız antibiyotik değil, ERCP ile safra drenajı gerekir.",Kolesistitte kaynak safra kesesidir; kolanjitte tıkalı koledok drenajı öncelikli olabilir.,"[""Akut kolanjit"", ""Biliyer obstrüksiyon"", ""Endoskopik sfinkterotomi""]","[{""sourceFilePath"": ""src/data/cases.js::v167-new-047-ates-ve-sag-ust-kadran-agrisi.diagnosis.options[3]"", ""text"": ""Perkütan transhepatik biliyer drenajı ilk seçenek olarak uygulamak""}, {""sourceFilePath"": ""src/data/cases.js::v168-new-059-ates-ve-sarilikla-basvuran-hasta.diagnosis.correct"", ""text"": ""Endoskopik retrograd kolanjiyopankreatografi ile biliyer drenaj""}]"
v405-general-surgery-redukte-edilemeyen-herni,Redükte edilemeyen herni,"[""Redükte edilemeyen herni"", ""redükte edilemeyen fıtık"", ""redükte edilemeyen kasık şişliği""]",Genel Cerrahi,Herni ve karın duvarı,P0,19,Fıtık içeriğinin elle veya spontan olarak karın içine geri itilememesidir.,"Redükte edilemeyen herni mekanik tıkanma, venöz konjesyon ve zamanla arteriyel iskemiye ilerleme riski taşır. Ağrı, hassasiyet, cilt değişikliği, ateş veya obstrüksiyon eşlik ediyorsa güvenli yaklaşım acil cerrahi değerlendirmedir.","Redükte edilemeyen ağrılı herni, özellikle kusma ve gaz-gaita çıkaramama ile birlikteyse strangülasyon dışlanana kadar acildir.","Sadece kronik, ağrısız ve kolay redükte edilen herni elektif planlanabilir; akut ağrılı-redükte edilemeyen tablo farklıdır.","[""İnguinal herni"", ""Strangülasyon bulgusu"", ""Mekanik barsak obstrüksiyonu""]","[{""sourceFilePath"": ""src/data/cases.js::v183-new-190-kasik-sisligi-ve-kusma.diagnosis.pearls[0].text"", ""text"": ""Ağrılı redükte edilemeyen fıtık + obstrüksiyon + laktat/eritem = zorlayıcı redüksiyon değil, acil cerrahi hazırlık ve operatif onarım.""}, {""sourceFilePath"": ""src/data/cases.js::v183-new-190-kasik-sisligi-ve-kusma.diagnosis.answerFeedback.examPearl"", ""text"": ""Ağrılı redükte edilemeyen fıtık + obstrüksiyon + laktat/eritem = zorlayıcı redüksiyon değil, acil cerrahi hazırlık ve operatif onarım.""}]"
v405-general-surgery-mezenter-arter-embolisi,Mezenter arter embolisi,"[""Mezenter arter embolisi"", ""mezenter arter embolisi"", ""akut mezenter arter embolisi"", ""superior mezenterik arter embolisi""]",Genel Cerrahi,Vasküler cerrahi / barsak iskemisi,P0,18,Mezenterik arter dolaşımının emboliyle ani tıkanmasıdır.,"Mezenter arter embolisi özellikle atriyal fibrilasyonlu hastada şiddetli karın ağrısı fakat başlangıçta hafif muayene bulgularıyla gelebilir. Tanıda BT anjiyografi, tedavide hızlı revaskülarizasyon ve nekrotik barsak varsa rezeksiyon önemlidir.",AF + orantısız şiddetli karın ağrısı = akut mezenter arter embolisi düşün.,İskemik kolit daha çok kolon segmentini ve daha yaşlı/düşük akım paternini düşündürür; SMA embolisi daha ani ve dramatiktir.,"[""Akut mezenter iskemi"", ""BT anjiyografi"", ""Barsak iskemisi""]","[{""sourceFilePath"": ""src/data/cases.js::v172-new-074-siddetli-karin-agrisi-ve-atriyal-fibrilasyon.diagnosis.answerFeedback.optionComparison.Kolonoskopi"", ""text"": ""Kolonoskopi iskemik kolit gibi seçilmiş kolon patolojilerinde kullanılabilir; akut mezenter arter embolisi şüphesinde ilk test değildir ve ağır iskemide risk oluşturabilir.""}, {""sourceFilePath"": ""src/data/cases.js::v172-new-074-siddetli-karin-agrisi-ve-atriyal-fibrilasyon.diagnosis.answerFeedback.whyWrong.Kolonoskopi"", ""text"": ""Kolonoskopi iskemik kolit gibi seçilmiş kolon patolojilerinde kullanılabilir; akut mezenter arter embolisi şüphesinde ilk test değildir ve ağır iskemide risk oluşturabilir.""}]"
v405-general-surgery-acil-laparotomi,Acil laparotomi,"[""Acil laparotomi"", ""acil laparotomi"", ""eksploratif laparotomi""]",Genel Cerrahi,Akut karın / kaynak kontrolü,P0,16,Acil cerrahi eksplorasyon için karın boşluğunun ameliyatla açılmasıdır.,"Acil laparotomi peritonit, perforasyon, kontrolsüz intraabdominal kanama, iskemi veya kaynak kontrolü gerektiren cerrahi acillerde uygulanır. TUS sorularında hemodinamik instabilite ve peritonit görüntüleme beklemeden cerrahi karara götürebilir.",Peritonit + instabilite varsa ileri tetkikle zaman kaybetmeden acil cerrahi düşünülür.,Stabil ve lokalize patolojilerde laparoskopi/BT eşliğinde yaklaşım mümkün olabilir; yaygın peritonit farklıdır.,"[""Pnömoperitoneum"", ""Kaynak kontrolü"", ""Hemodinamik instabilite""]","[{""sourceFilePath"": ""src/data/cases.js::v174-new-093-travma-sonrasi-karin-hassasiyeti.learningTarget"", ""text"": ""İnstabil travma hastasında pozitif FAST saptandığında BT ile anatomik ayrıntı aramanın değil, resüsitasyonla eş zamanlı acil eksploratif laparotominin öncelikli olduğunu ayırt etme.""}, {""sourceFilePath"": ""src/data/cases.js::v174-new-093-travma-sonrasi-karin-hassasiyeti.diagnosis.correct"", ""text"": ""Resüsitasyonla eş zamanlı acil eksploratif laparotomi yapmak""}]"
v405-general-surgery-fast-pozitifligi,FAST pozitifliği,"[""FAST pozitifliği"", ""FAST pozitif"", ""FAST’te serbest sıvı"", ""FAST'te serbest sıvı""]",Genel Cerrahi,Travma görüntüleme,P0,14,Travma hastasında FAST ultrasonunda serbest sıvı saptanmasıdır.,FAST pozitifliği hemodinamik instabil travma hastasında intraabdominal kanama lehine kabul edilir ve acil cerrahi/laparotomi kararını destekler. Stabil hastada BT ile organ yaralanması derecelendirilebilir.,İnstabil travma + FAST pozitifliği = BT beklemeden cerrahi kaynak kontrol düşün.,Stabil travma hastasında FAST pozitif olsa bile kontrastlı BT organ yaralanmasını sınıflamak için kullanılabilir.,"[""Hemodinamik instabilite"", ""Acil laparotomi"", ""Douglas/retrovezikal sıvı""]","[{""sourceFilePath"": ""src/data/cases.js::v174-new-093-travma-sonrasi-karin-hassasiyeti.diagnosis.explanation"", ""text"": ""Bu olguda künt karın travması sonrası persistan hipotansiyon, taşikardi, periton irritasyonu ve çoklu FAST pozitifliği intraperitoneal kanamayı klinik olarak yeterince güçlü kılar. Hasta hemodinamik olarak stabil olmadığı için BT’ye götürmek kanama kontrolünü geciktirir; sıvı/kan ürünü resüsitasyonu ve hazırlıklarla eş zamanlı acil eksploratif laparotomi en uygun basamaktır.""}, {""sourceFilePath"": ""src/data/cases.js::v174-new-093-travma-sonrasi-karin-hassasiyeti.diagnosis.answerFeedback.summary"", ""text"": ""Bu olguda künt karın travması sonrası persistan hipotansiyon, taşikardi, periton irritasyonu ve çoklu FAST pozitifliği intraperitoneal kanamayı klinik olarak yeterince güçlü kılar. Hasta hemodinamik olarak stabil olmadığı için BT’ye götürmek kanama kontrolünü geciktirir; sıvı/kan ürünü resüsitasyonu ve hazırlıklarla eş zamanlı acil eksploratif laparotomi en uygun basamaktır.""}]"
