id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v401-pathology-protein-denaturasyonu,Protein denatürasyonu,Protein denatürasyonu,Tıbbi Patoloji,Hücre hasarı / nekroz,P1,Proteinlerin üç boyutlu yapısını kaybederek işlevsizleşmesidir.,Koagülasyon nekrozunda yapısal proteinler ve proteolitik enzimler denatüre olur. Bu durum hücre canlılığı kaybolmasına rağmen doku mimarisinin bir süre seçilebilmesini açıklar.,Solid organ infarktında mimarinin korunması protein denatürasyonu baskınlığıyla açıklanır.,Enzimatik sindirim baskınsa sıvılaşma nekrozu; protein denatürasyonu baskınsa koagülasyon nekrozu beklenir.,Koagülasyon nekrozu | Proteolitik enzim | Solid organ infarktı,101,"Miyokard enfarktüsünün saat-gün düzeyindeki histopatolojik evrimini koagülasyon nekrozu, nötrofil, makrofaj ve skar evreleriyle ayırt edebilme. || Solid organ iskemisinde temel nekroz paterni beyin dışı dokularda koagülasyon nekrozudur."
v401-pathology-hayalet-hucre,Hayalet hücre,Hayalet hücre,Tıbbi Patoloji,Hücre hasarı / nekroz,P1,Çekirdeği kaybolmuş ancak hücre sınırları silik şekilde seçilebilen nekrotik hücre görünümüdür.,"Koagülasyon nekrozunda çekirdek piknoz, karyoreksis ve karyolizisle kaybolur; sitoplazmik kontur ise geçici olarak korunabilir. Bu mikroskobik görünüm “hayalet hücre” mantığıyla anlatılır.",Koagülasyon nekrozu = canlılık kaybı + geçici mimari korunumu + hayalet hücre.,Apoptozda apoptotik cisimcikler ve fagositoz; koagülasyon nekrozunda doku alanı ölümü ve hayalet hücreler öne çıkar.,Koagülasyon nekrozu | Karyolizis | Piknoz,88,"Miyokard enfarktüsünün saat-gün düzeyindeki histopatolojik evrimini koagülasyon nekrozu, nötrofil, makrofaj ve skar evreleriyle ayırt edebilme. || Solid organ iskemisinde temel nekroz paterni beyin dışı dokularda koagülasyon nekrozudur."
v401-pathology-proteolitik-enzim,Proteolitik enzim,Proteolitik enzim,Tıbbi Patoloji,Hücre hasarı / nekroz,P1,"Proteinleri parçalayan, nekrotik dokunun sindiriminde rol alan enzim grubudur.",Nötrofil ve makrofajlardan salınan proteolitik enzimler nekrotik dokunun temizlenmesine katkı verir. Apse ve beyin infarktında doku mimarisinin erimesi bu enzimatik sindirimin baskınlığıyla ilişkilidir.,Apse + püy + doku erimesi ifadesi proteolitik/lizozomal enzimleri düşündürür.,Protein denatürasyonu dokuyu korur; proteolitik enzim aktivitesi dokuyu sıvılaştırır.,Sıvılaşma nekrozu | Nötrofil | Lizozomal enzim,214,Glomerüllerde yaygın endokapiller hipersellülarite ve nötrofil lökositlerden zengin eksüdatif görünüm. || Glomerüllerde yaygın endokapiller hipersellülarite ve nötrofil lökositlerden zengin eksüdatif görünüm.
v401-pathology-notrofil-lizozomal-enzimleri,Nötrofil lizozomal enzimleri,nötrofil enzimleri | lizozomal enzimler | Nötrofil lizozomal enzimleri,Tıbbi Patoloji,Akut inflamasyon,P1,Nötrofillerden salınarak mikroorganizma ve çevre dokuyu sindirebilen enzimlerdir.,Akut piyojenik inflamasyonda nötrofiller bakterileri öldürürken çevre dokuda da enzimatik hasar oluşturur. Bu süreç püy oluşumu ve sıvılaşma nekrozunun temelidir.,Bakteriyel apse sorusunda nötrofil lizozomal enzimleri doku erimesinin ana mekanizmasıdır.,Granülomatöz inflamasyon makrofaj/Th1 baskındır; apse nötrofil ve lizozomal enzim baskındır.,Apse | Püy | Sıvılaşma nekrozu,90,"Kript distorsiyonu, bazal plazmasitoz ve kript apseleri || Likefaksiyon nekrozu beyin infarktında veya apse içinde enzimatik doku sindirimiyle sıvılaşma şeklinde beklenir. Bu olguda miyokard mimarisi korunmuş, sıvılaşma paterni verilmemiştir."
v401-pathology-apse,Apse,Apse,Tıbbi Patoloji,Akut inflamasyon,P0,"Püy içeren, çoğunlukla nötrofil ağırlıklı lokalize enfeksiyon odağıdır.","Apse merkezinde canlı ve ölü nötrofiller, nekrotik doku artıkları ve mikroorganizmalar bulunur. Nötrofil enzimleri çevre dokuyu erittiği için sıvılaşma nekrozu gelişir.",Apse = lokalize püy + nötrofil + sıvılaşma nekrozu.,Granülom kronik makrofaj yanıtıdır; apse akut nötrofilik yanıtın morfolojik sonucudur.,Püy | Nötrofil | Sıvılaşma nekrozu,252,"Kript distorsiyonu, bazal plazmasitoz ve kript apseleri || Glomerüllerde yaygın endokapiller hipersellülarite ve nötrofil lökositlerden zengin eksüdatif görünüm."
v401-pathology-amorf-eozinofilik-merkez,Amorf eozinofilik merkez,Amorf eozinofilik merkez,Tıbbi Patoloji,Granülomatöz inflamasyon,P1,"Mikroskopide hücresiz, granüler-pembe nekrotik merkez görünümüdür.",Kazeifikasyon nekrozunda doku mimarisi tamamen silinir ve merkezde amorf eozinofilik materyal birikir. Bu merkez epiteloid histiyositler ve dev hücrelerle çevrilirse kazeifiye granülom oluşur.,"Amorf eozinofilik merkez + granülom = kazeifikasyon, özellikle tüberküloz.",Apse merkezinde pürülan nötrofilik içerik; kazeifikasyonda hücresiz amorf nekrotik merkez beklenir.,Kazeifikasyon nekrozu | Granülom | Epiteloid histiyosit,346,"Bu patern Crohn hastalığı için daha uygundur; skip lezyon, fistül, transmural tutulum veya granülom beklenir. Bu olguda kanlı ishal, perianal hastalık veya transmural komplikasyon değil, glutenle ilişkili proksimal malabsorpsiyon ön plandadır. || Bu patern Crohn hastalığı için daha uygundur; skip lezyon, fistül, transmural tutulum veya granülom beklenir. Bu olguda kanlı ishal, perianal hastalık veya transmural komplikasyon değil, glutenle ilişkili proksimal malabsorpsiyon ön plandadır."
v401-pathology-epiteloid-histiyosit,Epiteloid histiyosit,Epiteloid histiyosit,Tıbbi Patoloji,Granülomatöz inflamasyon,P0,Kronik inflamasyonda epitelsi görünüme dönüşmüş aktive makrofajdır.,Epiteloid histiyositler granülomun temel hücresidir. Th1-IFN-gamma ekseniyle aktive olan makrofajlar birleşerek dev hücreleri de oluşturabilir.,Granülom sorusunda epiteloid histiyosit makrofaj kökenli ana hücredir.,"Nötrofil apseyi, epiteloid histiyosit granülomatöz inflamasyonu düşündürür.",Granülom | IFN-gamma | Langhans dev hücresi,340,"Bu patern Crohn hastalığı için daha uygundur; skip lezyon, fistül, transmural tutulum veya granülom beklenir. Bu olguda kanlı ishal, perianal hastalık veya transmural komplikasyon değil, glutenle ilişkili proksimal malabsorpsiyon ön plandadır. || Bu patern Crohn hastalığı için daha uygundur; skip lezyon, fistül, transmural tutulum veya granülom beklenir. Bu olguda kanlı ishal, perianal hastalık veya transmural komplikasyon değil, glutenle ilişkili proksimal malabsorpsiyon ön plandadır."
v401-pathology-enzimatik-yag-nekrozu,Enzimatik yağ nekrozu,Enzimatik yağ nekrozu,Tıbbi Patoloji,Hücre hasarı / nekroz,P0,Pankreatik lipazların yağ dokusunu parçalamasıyla gelişen yağ nekrozu tipidir.,Akut pankreatitte lipazlar peripankreatik yağ dokusunu trigliseritlerden serbest yağ asitlerine ayırır. Bu yağ asitleri kalsiyumla birleşerek tebeşirimsi sabunlaşma odakları oluşturur.,Akut pankreatit + tebeşirimsi beyaz odak + hipokalsemi = enzimatik yağ nekrozu.,Travmatik yağ nekrozu daha çok memede sert kitle/fibrozisle maligniteyi taklit eder.,Akut pankreatit | Sabunlaşma | Hipokalsemi,31,"Yağ nekrozu pankreatit veya travmatik yağ dokusu hasarında sabunlaşma, kalsifikasyon ve adiposit gölge hücreleriyle beklenir. Olguda yağ dokusu değil miyokard iskemisi ön plandadır. || Yağ nekrozu pankreatit veya travmatik yağ dokusu hasarında sabunlaşma, kalsifikasyon ve adiposit gölge hücreleriyle beklenir. Olguda yağ dokusu değil miyokard iskemisi ön plandadır."
v401-pathology-sabunlasma,Sabunlaşma,Sabunlaşma,Tıbbi Patoloji,Hücre hasarı / nekroz,P1,Yağ asitlerinin kalsiyumla birleşerek kalsiyum sabunları oluşturmasıdır.,Yağ nekrozunda serbest yağ asitleri kalsiyumu bağlayabilir. Akut pankreatitte bu süreç hipokalsemi ve tebeşirimsi beyaz nekroz odaklarıyla ilişkilidir.,"Pankreatit sorusunda sabunlaşma, enzimatik yağ nekrozunun morfolojik anahtar kelimesidir.",Distrofik kalsifikasyon ölü dokuda kalsiyum birikimidir; sabunlaşma yağ nekrozu bağlamında yağ asidi-kalsiyum birleşimini vurgular.,Enzimatik yağ nekrozu | Akut pankreatit | Kalsiyum,34,"Yağ nekrozu pankreatit veya travmatik yağ dokusu hasarında sabunlaşma, kalsifikasyon ve adiposit gölge hücreleriyle beklenir. Olguda yağ dokusu değil miyokard iskemisi ön plandadır. || Yağ nekrozu pankreatit veya travmatik yağ dokusu hasarında sabunlaşma, kalsifikasyon ve adiposit gölge hücreleriyle beklenir. Olguda yağ dokusu değil miyokard iskemisi ön plandadır."
v401-pathology-travmatik-yag-nekrozu,Travmatik yağ nekrozu,Travmatik yağ nekrozu,Tıbbi Patoloji,Hücre hasarı / nekroz,P1,"Travma sonrası yağ dokusunda nekroz, inflamasyon ve fibrozis gelişmesidir.","Memede travmatik yağ nekrozu sert kitle, kalsifikasyon ve fibrozis oluşturabilir. Klinik ve radyolojik olarak meme kanserini taklit edebilmesi sınav açısından önemlidir.",Memede travma sonrası sert kitle malignite değil travmatik yağ nekrozu olabilir.,Enzimatik yağ nekrozu pankreatitle; travmatik yağ nekrozu meme travması ve kanser taklidiyle ilişkilidir.,Meme kitlesi | Fibrozis | Kalsifikasyon,100,"Papiller tiroid karsinomunda mikrokalsifikasyon, lenfatik yayılım ve nükleer sitoloji özelliklerini ayırt ettirici patoloji bulgusuyla ilişkilendirme. || Tiroid nodülü düzensiz ve mikrokalsifikasyonludur."
